Cell Line,Drug,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549-L18F,SY-5609,0,1.8216,1.6769,
A549-L18F,SY-5609,0,1.7163,1.5757,
A549-L18F,SY-5609,0,1.808,1.6556,
A549-L18F,SY-5609,0,1.7354,1.5936,
A549-L18F,SY-5609,1,1.6998,1.5584,
A549-L18F,SY-5609,1,1.7924,1.6436,
A549-L18F,SY-5609,1,1.8486,1.7027,
A549-L18F,SY-5609,1,1.8871,1.7366,
A549-L18F,SY-5609,2,1.8327,1.6881,
A549-L18F,SY-5609,2,1.9778,1.8233,
A549-L18F,SY-5609,2,1.789,1.6312,
A549-L18F,SY-5609,2,1.7562,1.6148,
A549-L18F,SY-5609,5,1.9805,1.8339,
A549-L18F,SY-5609,5,1.9984,1.8407,
A549-L18F,SY-5609,5,1.9187,1.7674,
A549-L18F,SY-5609,5,1.9054,1.7561,
A549-L18F,SY-5609,10,1.7966,1.6527,
A549-L18F,SY-5609,10,1.6566,1.5217,
A549-L18F,SY-5609,10,1.8122,1.6703,
A549-L18F,SY-5609,10,1.8544,1.7092,
A549-L18F,SY-5609,20,1.6637,1.5292,
A549-L18F,SY-5609,20,1.7327,1.5951,
A549-L18F,SY-5609,20,1.5831,1.4539,
A549-L18F,SY-5609,20,1.8174,1.6783,
A549-L18F,SY-5609,50,1.613,1.4841,
A549-L18F,SY-5609,50,1.6095,1.4778,
A549-L18F,SY-5609,50,1.5302,1.4026,
A549-L18F,SY-5609,50,1.5399,1.4095,
A549-L18F,SY-5609,100,1.3314,1.2144,
A549-L18F,SY-5609,100,1.3179,1.2027,
A549-L18F,SY-5609,100,1.3443,1.2289,
A549-L18F,SY-5609,100,1.3005,1.1889,
A549-L18F,SY-5609,200,1.1954,1.0885,
A549-L18F,SY-5609,200,1.2085,1.1004,
A549-L18F,SY-5609,200,1.2878,1.1758,
A549-L18F,SY-5609,200,1.3504,1.2355,
A549-L18F,SY-5609,500,1.2452,1.135,
A549-L18F,SY-5609,500,1.2203,1.1112,
A549-L18F,SY-5609,500,1.1304,1.0262,
A549-L18F,SY-5609,500,1.0514,0.9513,
A549-L18F,SY-5609,1000,1.0814,0.9802,
A549-L18F,SY-5609,1000,1.001,0.9049,
A549-L18F,SY-5609,1000,1.0526,0.9534,
A549-L18F,SY-5609,1000,1.0182,0.9213,
A549-L18F,SY-5609,2000,0.9062,0.8156,
A549-L18F,SY-5609,2000,0.9454,0.8525,
A549-L18F,SY-5609,2000,0.9704,0.8763,
A549-L18F,SY-5609,2000,0.8999,0.81,
A549-NT,SY-5609,0,1.6468,1.5153,
A549-NT,SY-5609,0,1.6872,1.5496,
A549-NT,SY-5609,0,1.6268,1.4925,
A549-NT,SY-5609,0,1.6263,1.4929,
A549-NT,SY-5609,1,1.4366,1.3146,
A549-NT,SY-5609,1,1.4891,1.3638,
A549-NT,SY-5609,1,1.4604,1.336,
A549-NT,SY-5609,1,1.4541,1.3306,
A549-NT,SY-5609,2,1.4285,1.3069,
A549-NT,SY-5609,2,1.404,1.2833,
A549-NT,SY-5609,2,1.4301,1.3087,
A549-NT,SY-5609,2,1.4072,1.289,
