Cell Line,Drug,Concentration,Measurement,Measurement-Ref
B-ALL,KI-CDK9d-32,1,1.5937,1.4554
B-ALL,KI-CDK9d-32,1,1.3703,1.2483
B-ALL,KI-CDK9d-32,1,1.3554,1.2358
B-ALL,KI-CDK9d-32,1,1.157,1.0512
B-ALL,KI-CDK9d-32,2.5,1.5657,1.4373
B-ALL,KI-CDK9d-32,2.5,1.6025,1.4712
B-ALL,KI-CDK9d-32,2.5,1.4461,1.3247
B-ALL,KI-CDK9d-32,2.5,1.4643,1.3408
B-ALL,KI-CDK9d-32,5,1.4479,1.3243
B-ALL,KI-CDK9d-32,5,1.7363,1.5915
B-ALL,KI-CDK9d-32,5,1.5537,1.4276
B-ALL,KI-CDK9d-32,5,1.2546,1.1374
B-ALL,KI-CDK9d-32,10,1.6516,1.509
B-ALL,KI-CDK9d-32,10,1.3204,1.1996
B-ALL,KI-CDK9d-32,10,1.4115,1.2667
B-ALL,KI-CDK9d-32,10,1.5583,1.4212
B-ALL,KI-CDK9d-32,20,1.3763,1.2577
B-ALL,KI-CDK9d-32,20,1.0598,0.9571
B-ALL,KI-CDK9d-32,20,1.3818,1.2618
B-ALL,KI-CDK9d-32,20,1.3094,1.181
B-ALL,KI-CDK9d-32,50,1.3547,1.2366
B-ALL,KI-CDK9d-32,50,1.0903,0.9862
B-ALL,KI-CDK9d-32,50,1.1841,1.0744
B-ALL,KI-CDK9d-32,50,1.3822,1.2609
B-ALL,KI-CDK9d-32,100,1.4776,1.3517
B-ALL,KI-CDK9d-32,100,1.4037,1.2822
B-ALL,KI-CDK9d-32,100,1.1953,1.086
B-ALL,KI-CDK9d-32,100,1.6188,1.484
B-ALL,KI-CDK9d-32,200,0.5357,0.4651
B-ALL,KI-CDK9d-32,200,0.5366,0.4676
B-ALL,KI-CDK9d-32,200,0.5361,0.4649
B-ALL,KI-CDK9d-32,200,0.4567,0.3915
B-ALL,KI-CDK9d-32,500,0.081,0.0398
B-ALL,KI-CDK9d-32,500,0.0802,0.0371
B-ALL,KI-CDK9d-32,500,0.082,0.0401
B-ALL,KI-CDK9d-32,500,0.0817,0.039
B-ALL,KI-CDK9d-32,1000,0.0875,0.0433
B-ALL,KI-CDK9d-32,1000,0.0818,0.0394
B-ALL,KI-CDK9d-32,1000,0.0862,0.043
B-ALL,KI-CDK9d-32,1000,0.0824,0.0393
B-ALL,KI-CDK9d-32,2500,0.082,0.0402
B-ALL,KI-CDK9d-32,2500,0.0801,0.0376
B-ALL,KI-CDK9d-32,2500,0.0817,0.0391
B-ALL,KI-CDK9d-32,2500,0.0788,0.0367
B-ALL,KI-CDK9d-32,0,1.2496,1.1355
B-ALL,KI-CDK9d-32,0,1.2803,1.1646
B-ALL,KI-CDK9d-32,0,1.7582,1.5843
B-ALL,KI-CDK9d-32,0,1.3982,1.2675
B-ALL,KI-CDK9d-32,0,1.968,1.8121
B-ALL,KI-CDK9d-32,0,1.3187,1.1994
B-ALL,KI-CDK9d-32,0,1.6245,1.4856
B-ALL,KI-CDK9d-32,0,1.4725,1.3451
B-ALL,KI-CDK9d-32,0,1.2962,1.1789
B-ALL,KI-CDK9d-32,0,1.3326,1.2112
B-ALL,KI-CDK9d-32,0,1.3094,1.1919
B-ALL,KI-CDK9d-32,0,1.2516,1.1309
B-ALL,KI-CDK9d-32,0,1.2357,1.1212
B-ALL,KI-CDK9d-32,0,1.2294,1.107
B-ALL,KI-CDK9d-32,0,1.2644,1.1268
B-ALL,KI-CDK9d-32,0,1.4089,1.2892
No Cells,KI-CDK9d-32,0,0.0815,0.0385
No Cells,KI-CDK9d-32,0,0.0837,0.0404
No Cells,KI-CDK9d-32,0,0.0808,0.0381
No Cells,KI-CDK9d-32,0,0.0804,0.0399
No Cells,KI-CDK9d-32,0,0.0805,0.0379
No Cells,KI-CDK9d-32,0,0.0809,0.0389
No Cells,KI-CDK9d-32,0,0.0819,0.0404
No Cells,KI-CDK9d-32,0,0.0814,0.0407
No Cells,KI-CDK9d-32,0,0.0836,0.0404
No Cells,KI-CDK9d-32,0,0.0819,0.0395
No Cells,KI-CDK9d-32,0,0.0835,0.0418
No Cells,KI-CDK9d-32,0,0.0821,0.0415
