Cell Line,Drug,gRNA_number,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549-CBE,KI-CDK9d-32N,17,500,0.9422,0.849,
A549-CBE,KI-CDK9d-32N,17,1000,1.0125,0.9163,
A549-CBE,KI-CDK9d-32N,17,1000,1.0582,0.9564,
A549-CBE,KI-CDK9d-32N,17,1000,1.0513,0.9528,
A549-CBE,KI-CDK9d-32N,17,2000,0.7469,0.664,
A549-CBE,KI-CDK9d-32N,17,2000,0.7424,0.6633,
A549-CBE,KI-CDK9d-32N,17,2000,0.7597,0.6781,
A549-CBE,KI-CDK9d-32N,17,4000,0.2997,0.2439,
A549-CBE,KI-CDK9d-32N,17,4000,0.2793,0.227,
A549-CBE,KI-CDK9d-32N,17,4000,0.3119,0.2542,
A549-CBE,KI-CDK9d-32N,17,8000,0.2236,0.1728,
A549-CBE,KI-CDK9d-32N,17,8000,0.2357,0.1853,
A549-CBE,KI-CDK9d-32N,17,8000,0.2509,0.1993,
A549-CBE,KI-CDK9d-32N,17,10000,0.2362,0.1853,
A549-CBE,KI-CDK9d-32N,17,10000,0.2484,0.1967,
A549-CBE,KI-CDK9d-32N,17,10000,0.2486,0.1975,
A549-CBE,SEL120,2,0,1.3311,1.2188,
A549-CBE,SEL120,2,0,1.3776,1.2584,
A549-CBE,SEL120,2,0,1.3348,1.2204,
A549-CBE,SEL120,2,100,1.2793,1.17,
A549-CBE,SEL120,2,100,1.3048,1.1942,
A549-CBE,SEL120,2,100,1.264,1.1574,
A549-CBE,SEL120,2,500,1.0495,0.9512,
A549-CBE,SEL120,2,500,1.014,0.9206,
A549-CBE,SEL120,2,500,1.0766,0.9785,
A549-CBE,SEL120,2,1000,0.9826,0.8906,
A549-CBE,SEL120,2,1000,0.9535,0.8635,
A549-CBE,SEL120,2,1000,0.9667,0.8706,
A549-CBE,SEL120,2,2000,0.72,0.6428,
A549-CBE,SEL120,2,2000,0.7238,0.644,
A549-CBE,SEL120,2,2000,0.7133,0.6326,
A549-CBE,SEL120,2,4000,0.3298,0.2739,
A549-CBE,SEL120,2,4000,0.3158,0.2599,
A549-CBE,SEL120,2,4000,0.3149,0.2585,
A549-CBE,SEL120,2,8000,0.1024,0.059,
A549-CBE,SEL120,2,8000,0.1034,0.0612,
A549-CBE,SEL120,2,8000,0.1019,0.0576,
A549-CBE,SEL120,2,10000,0.1108,0.0691,
A549-CBE,SEL120,2,10000,0.099,0.0573,
A549-CBE,SEL120,2,10000,0.099,0.0561,
A549-CBE,SEL120,13,0,1.2123,1.107,
A549-CBE,SEL120,13,0,1.2779,1.1663,
A549-CBE,SEL120,13,0,1.1171,1.0145,
A549-CBE,SEL120,13,100,0.9973,0.9013,
A549-CBE,SEL120,13,100,0.9708,0.8781,
A549-CBE,SEL120,13,100,0.9344,0.8427,
A549-CBE,SEL120,13,500,0.831,0.7473,
A549-CBE,SEL120,13,500,0.8373,0.7509,
A549-CBE,SEL120,13,500,0.8602,0.7748,
A549-CBE,SEL120,13,1000,0.8694,0.7837,
A549-CBE,SEL120,13,1000,0.9092,0.8204,
A549-CBE,SEL120,13,1000,0.9275,0.8348,
A549-CBE,SEL120,13,2000,0.6469,0.5716,
A549-CBE,SEL120,13,2000,0.6611,0.5841,
