Cell Line,Drug,Concentration (nM or % for DMSO),Measurement,Measurement-Ref,Error?
A549,DMSO,0.2,1.3954,1.2787,
A549,DMSO,0.2,1.43,1.3109,
A549,DMSO,0.2,1.3816,1.264,
A549,DMSO,0.2,1.4073,1.2903,
A549,DMSO,0.2,1.4049,1.2875,
A549,DMSO,0.2,1.4138,1.2956,
A549,DMSO,0.2,1.3974,1.2798,
A549,DMSO,0.2,1.4389,1.3202,
A549,DMSO,0.2,1.4267,1.3077,
A549,DMSO,0.2,1.4435,1.3233,
A549,DMSO,0.2,1.4127,1.2953,
A549,DMSO,0.2,1.4773,1.3544,
A549,CDK12-IN-2,1,1.3435,1.2288,
A549,CDK12-IN-2,1,1.3768,1.2585,
A549,CDK12-IN-2,1,1.3274,1.2125,
A549,CDK12-IN-2,1,1.2196,1.1115,
A549,CDK12-IN-2,5,1.2939,1.1817,
A549,CDK12-IN-2,5,1.3889,1.2704,
A549,CDK12-IN-2,5,1.3686,1.2508,
A549,CDK12-IN-2,5,1.3241,1.2089,
A549,CDK12-IN-2,10,1.3777,1.2591,
A549,CDK12-IN-2,10,1.3643,1.2482,
A549,CDK12-IN-2,10,1.3958,1.278,
A549,CDK12-IN-2,10,1.4841,1.3605,
A549,CDK12-IN-2,20,1.3708,1.2551,
A549,CDK12-IN-2,20,1.3517,1.2347,
A549,CDK12-IN-2,20,1.3101,1.1971,
A549,CDK12-IN-2,20,1.2442,1.1327,
A549,CDK12-IN-2,50,1.2835,1.171,
A549,CDK12-IN-2,50,1.2278,1.1194,
A549,CDK12-IN-2,50,1.2668,1.1557,
A549,CDK12-IN-2,50,1.2592,1.1475,
A549,CDK12-IN-2,100,1.2672,1.1561,
A549,CDK12-IN-2,100,1.3388,1.2224,
A549,CDK12-IN-2,100,1.4075,1.2881,
A549,CDK12-IN-2,100,1.4083,1.2879,
A549,CDK12-IN-2,200,1.3847,1.2676,
A549,CDK12-IN-2,200,1.2601,1.1483,
A549,CDK12-IN-2,200,1.2759,1.1634,
A549,CDK12-IN-2,200,1.1204,1.017,
A549,CDK12-IN-2,500,1.1578,1.0523,
A549,CDK12-IN-2,500,1.1609,1.0566,
A549,CDK12-IN-2,500,1.1848,1.0777,
A549,CDK12-IN-2,500,1.1751,1.0689,
A549,CDK12-IN-2,1000,1.1674,1.0624,
A549,CDK12-IN-2,1000,1.1928,1.0847,
A549,CDK12-IN-2,1000,1.2303,1.1211,
A549,CDK12-IN-2,1000,1.2921,1.1782,
A549,CDK12-IN-2,2000,0.8202,0.7351,
A549,CDK12-IN-2,2000,0.8079,0.7227,
A549,CDK12-IN-2,2000,0.7724,0.6887,
A549,CDK12-IN-2,2000,0.7368,0.6555,
A549,CDK12-IN-2,4000,0.2232,0.1729,
A549,CDK12-IN-2,4000,0.2177,0.1659,
A549,CDK12-IN-2,4000,0.2188,0.1677,
A549,CDK12-IN-2,4000,0.2141,0.1637,
A549,CDK12-IN-2,10000,0.2289,0.1766,
A549,CDK12-IN-2,10000,0.234,0.1816,
A549,CDK12-IN-2,10000,0.2332,0.1792,
A549,CDK12-IN-2,10000,0.2382,0.1865,
A549,HQ461,1,1.3579,1.2413,
A549,HQ461,1,1.2931,1.18,
A549,HQ461,1,1.2637,1.1516,
A549,HQ461,1,1.1936,1.0853,
A549,HQ461,5,1.1873,1.08,
A549,HQ461,5,1.1501,1.044,
A549,HQ461,5,1.2031,1.0949,
A549,HQ461,5,1.2613,1.1513,
A549,HQ461,10,1.2962,1.1821,
A549,HQ461,10,1.3603,1.2434,
A549,HQ461,10,1.3373,1.2218,
A549,HQ461,10,1.4055,1.2879,
A549,HQ461,20,1.4091,1.2895,
A549,HQ461,20,1.3207,1.206,
