Cell Line,Drug,Concentration,Measurement,Measurement-Ref
A2780,DMSO,,0.891,0.7982
A2780,DMSO,,0.8891,0.7954
A2780,DMSO,,0.8636,0.7728
A2780,KI-CDK9d-32,2,1.013,0.9086
A2780,KI-CDK9d-32,2,1.0253,0.919
A2780,KI-CDK9d-32,2,1.002,0.8971
A2780,KI-CDK9d-32,5,0.7599,0.6752
A2780,KI-CDK9d-32,5,0.7495,0.6673
A2780,KI-CDK9d-32,5,0.7391,0.6549
A2780,KI-CDK9d-32,10,0.4854,0.4185
A2780,KI-CDK9d-32,10,0.4824,0.414
A2780,KI-CDK9d-32,10,0.4201,0.3549
A2780,KI-CDK9d-32,100,0.0681,0.0261
A2780,KI-CDK9d-32,100,0.0685,0.0256
A2780,KI-CDK9d-32,100,0.068,0.0254
A2780,KI-CDK9d-32,500,0.0648,0.0223
A2780,KI-CDK9d-32,500,0.0634,0.0205
A2780,KI-CDK9d-32,500,0.0631,0.0203
A2780,KI-CDK9d-32,1000,0.0623,0.0201
A2780,KI-CDK9d-32,1000,0.0626,0.0219
A2780,KI-CDK9d-32,1000,0.0622,0.0196
A2780,KB-0742,10,1.0803,0.9674
A2780,KB-0742,10,1.0901,0.9744
A2780,KB-0742,10,1.1008,0.9818
A2780,KB-0742,100,1.0372,0.9239
A2780,KB-0742,100,1.0117,0.9024
A2780,KB-0742,100,1.0371,0.926
A2780,KB-0742,500,0.822,0.7288
A2780,KB-0742,500,0.8016,0.7101
A2780,KB-0742,500,0.8297,0.7371
A2780,KB-0742,1000,0.6149,0.5397
A2780,KB-0742,1000,0.6172,0.5404
A2780,KB-0742,1000,0.6337,0.5568
A2780,KB-0742,2500,0.0734,0.0296
A2780,KB-0742,2500,0.0763,0.0328
A2780,KB-0742,2500,0.0677,0.0244
A2780,KB-0742,5000,0.0718,0.0284
A2780,KB-0742,5000,0.0721,0.029
A2780,KB-0742,5000,0.0687,0.0259
A2780,SY-5609,2,0.6974,0.617
A2780,SY-5609,2,0.711,0.6309
A2780,SY-5609,2,0.6696,0.5923
A2780,SY-5609,5,0.5291,0.458
A2780,SY-5609,5,0.5464,0.4754
