gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB_2000_REP1,KB_2000_REP2,KB_2000_REP3,LFC_avg_KB_2000,LFC_median_KB_2000,KB_4000_REP1,KB_4000_REP2,KB_4000_REP3,LFC_avg_KB_4000,LFC_median_KB_4000,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_DMSO,FDR_DMSO,p_KB_2000,FDR_KB_2000,p_KB_4000,FDR_KB_4000,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.5426293064329606,0.3855625145166365,0.35234216452550343,0.4268446618250335,0.3855625145166365,561.238858598047,18088.0,0.8773624881194431,0.9928582702725818,0.46926867750837814,0.7798298119668011,0.8773624881194431,1.029472588800662,1.0821144822347208,0.01824242060610536,0.7099431638804962,1.029472588800662,-0.2103719637174415,-0.2103719637174415,-0.2103719637174415,0.16684589754092538,0.821832477043461,0.12043791866837547,0.9999237466901253,0.10834958097684536,0.9999923434813869,0.05389461053894611,0.2092920153219387
gRNA_CDK7_targ_2,CDK7,targeting,-0.5547766537720836,-0.22205937886705907,0.06657888174168673,-0.23675238363248532,-0.22205937886705907,361.99321804743806,15745.0,0.12296467182127109,-0.1071508259026103,-0.8860062750154569,-0.2900641430322654,-0.1071508259026103,-0.8692536446315839,0.7417585411493486,0.3527901969880669,0.07509836450194385,0.3527901969880669,0.28312470423507935,0.28312470423507935,0.28312470423507935,0.3493190690579239,0.8385367103027921,0.5605754836352763,0.9196941528391251,0.3056935931088391,0.9969862185409925,0.3837616238376163,0.6698652385400847
gRNA_CDK7_targ_3,CDK7,targeting,0.36161407366747644,-0.7478658853422685,0.6430936861170055,0.08561395814740447,0.36161407366747644,396.2040360554653,12677.0,0.6941336123648693,0.16246367218556484,-3.274688121191959,-0.8060302788805083,0.16246367218556484,0.5465519703166524,-1.4593004822764541,-0.9514703238094463,-0.6214062785897494,-0.9514703238094463,-0.7781575986495793,-0.7781575986495793,-0.7781575986495793,0.3241142396076154,0.9698959700148685,0.21802147750389964,0.679450494960783,0.4683667829315302,0.9367805783048226,0.007499250074992499,0.09434540416926047
gRNA_CDK7_targ_4,CDK7,targeting,0.7659403324460364,0.16751559084355452,0.005055615692318826,0.31283717966063657,0.16751559084355452,515.6545678153058,17801.0,1.4396204022895436,1.1961516905973903,-0.6714672378958836,0.6547682849970168,1.1961516905973903,-0.46002837459869694,1.4485690355232346,-0.24493176657283044,0.24786963145056906,-0.24493176657283044,-0.4844580064634526,-0.4844580064634526,-0.4844580064634526,0.22970832801110988,0.8745448633686588,0.10607637638912129,0.9999237466901253,0.22271663509723758,0.997620361740526,0.029597040295970406,0.19600197145154516
gRNA_CDK7_targ_5,CDK7,targeting,-0.7555825902048772,0.12108454576159904,0.3057437789289183,-0.10958475517145329,0.12108454576159904,302.32742580606265,17020.0,-0.10321501882539902,-0.7794884956880964,-0.30676610493695317,-0.39648987315014955,-0.30676610493695317,-1.5798743433198523,-0.5282010848961569,-1.2018075803163488,-1.1032943361774528,-1.2018075803163488,-0.9548392267938685,-0.9548392267938685,-0.9548392267938685,0.43568938663799917,0.8976845475635756,0.5225615007079094,0.9098168985539495,0.30430901614806444,0.8787379635596002,9.999000099990012e-05,0.002037109721863637
gRNA_CDK7_targ_6,CDK7,targeting,0.017292318809826988,-0.10501898626199271,-0.03586336308248424,-0.041196676844883325,-0.03586336308248424,711.5519316072182,21114.0,-0.1986842974134968,0.4922482330812255,-0.7471580507997315,-0.15119803837733428,-0.1986842974134968,-1.4831445785256259,-0.9665326019746785,1.2052848708162736,-0.4147974365613436,-0.9665326019746785,-1.2289284895866206,-1.2289284895866206,-1.2289284895866206,0.5745742752197709,0.9999997399291354,0.5646856838452796,0.943156978091775,0.42117945429644144,0.9409975388547946,9.999000099990012e-05,0.002037109721863637
gRNA_CDK7_targ_7,CDK7,targeting,0.2524193012713692,0.629007675229882,0.4306861369364473,0.43737103781256614,0.4306861369364473,336.6365681917556,14454.0,1.1904921267091544,0.5128562664180152,0.020018705923341137,0.5744556996835036,0.5128562664180152,1.6566333288837973,-0.9100815305222496,0.25684005679366767,0.33446395171840515,0.25684005679366767,0.3376077099927912,0.3376077099927912,0.3376077099927912,0.15514207343223874,0.8068644374273964,0.18252527849743774,0.9999237466901253,0.1278189197207354,0.9973233937001346,0.4133586641335866,0.6808945661450456
gRNA_CDK7_targ_8,CDK7,targeting,-0.6512523226825764,-0.33871952819909207,-0.04850538696842502,-0.3461590792833645,-0.33871952819909207,474.3757552038075,13785.0,-0.9047919423589615,-0.37292861075692313,-0.7557288132829196,-0.6778164554662681,-0.7557288132829196,-1.2155004967128569,0.4524550120034733,-1.101868209826378,-0.6216378981785872,-1.101868209826378,0.1538534164488588,0.1538534164488588,0.1538534164488588,0.24984922755526742,0.7263987127006177,0.35323830935949263,0.7994984939588621,0.46446687644253914,0.9367805783048226,0.25577442255774424,0.5309993715457352
gRNA_CDK7_targ_9,CDK7,targeting,0.430687088830194,0.5808783397335676,1.4280910846961063,0.8132188377532893,0.5808783397335676,221.98544534958668,6445.0,0.8152565606682727,0.005809100144751226,1.024076451475593,0.6150473707628722,0.8152565606682727,1.1760444523957827,1.0022395971308553,1.1285150325185427,1.102266360681727,1.1285150325185427,0.4641916412268547,0.4641916412268547,0.4641916412268547,0.01762550260608978,0.4671613797536418,0.1627679166482411,0.9999237466901253,0.04083645841965377,0.8936144717764429,0.4740525947405261,0.7679516858440738
gRNA_CDK7_targ_10,CDK7,targeting,-0.47389001998426883,0.3795910270775401,-0.5488323571397866,-0.21437711668217177,-0.47389001998426883,154.41907978373288,4976.0,-1.161034748334959,-0.2816731308391657,-1.0156215608411245,-0.8194431466717497,-1.0156215608411245,-1.0827010874800576,-1.4031464809628453,-0.7628540814887976,-1.0829005499772337,-1.0827010874800576,0.664685141031058,0.664685141031058,0.664685141031058,0.3222595200115826,0.80861074414671,0.24812833372351412,0.7139281348062807,0.3027930925855624,0.8787379635596002,0.3653634636536347,0.808223282149397
