gRNA_id,Gene,classification,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,LFC_avg_CBE_BSJ-4-116,LFC_median_CBE_BSJ-4-116,base_RPM,base_RAW,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,LFC_avg_CBE_CDK12-IN-2,LFC_median_CBE_CDK12-IN-2,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,LFC_avg_CBE_HQ461,LFC_median_CBE_HQ461,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_BSJ-4-116,FDR_CBE_BSJ-4-116,p_CBE_CDK12-IN-2,FDR_CBE_CDK12-IN-2,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_HQ461,FDR_CBE_HQ461,p_Plasmid,FDR_Plasmid
gRNA_CDK12_targ_1740,CDK12,targeting,-1.3319240434847168,-1.0121734531187487,-0.5323008862980393,-0.9587994609671683,-1.0121734531187487,236.97941905652175,7201.0,-0.9773334517580019,-2.2035793330994062,-0.4818389315622552,-1.2209172388065543,-0.9773334517580019,-0.7218542000715905,-0.8247828367102996,-1.5033527832056683,-1.016663273329186,-0.8247828367102996,0.08163884728329161,-0.9850346817465757,-1.5008612319963546,-0.8014190221532128,-0.9850346817465757,0.46611378991929064,0.46611378991929064,0.46611378991929064,0.19103953023193698,0.8469712302531733,0.19810825399454493,1.0,0.171934389208708,0.9248811300778916,0.2833571495809313,0.860900879046887,0.40785921407859205,0.981207279644475
gRNA_CDK12_targ_1741,CDK12,targeting,0.4623817841877359,0.3536716928905559,1.4376327149708008,0.7512287306830309,0.4623817841877359,142.67542546414728,4899.0,-0.9864638197773992,-0.5366678125109662,-0.6815704879637656,-0.7349007067507104,-0.6815704879637656,-0.44479323646766766,1.671479306124016,-2.6331014151637646,-0.46880511516913875,-0.44479323646766766,0.6207916596749349,0.4129812374858279,0.1002835067546026,0.3780188013051218,0.4129812374858279,1.139451474537775,1.139451474537775,1.139451474537775,0.1421373377827082,0.9999999323730279,0.43975920808989355,1.0,0.17060030401314472,0.9248811300778916,0.3137965361611099,0.9931026298204817,0.14008599140085992,0.7838374783211335
gRNA_CDK12_targ_1742,CDK12,targeting,-0.3728864004208776,-1.277934948249234,0.058044595362568965,-0.5309255844358475,-0.3728864004208776,151.41540162186595,4601.0,0.04682340155273784,-1.3530599719894707,0.28096663679740563,-0.34175664454644245,0.04682340155273784,-1.0108351290137458,-0.8886911356647346,-1.0045626805592143,-0.9680296484125649,-1.0045626805592143,-0.7004827549092022,-0.07553433407843477,-1.1986020598876699,-0.6582063829584356,-0.7004827549092022,0.36404386593447996,0.36404386593447996,0.36404386593447996,0.3685210252429396,0.9352002365351884,0.4899839733500855,0.9222532549328701,0.2055454546194244,0.9511361911476786,0.3629717988038434,0.8726000404827601,0.45125487451254853,0.9729737638333235
gRNA_CDK12_targ_1743,CDK12,targeting,-1.2495226814224267,0.6363270996600517,1.645168852775669,0.3439910903377646,0.6363270996600517,187.7369012090539,5597.0,0.32962253440599787,-0.9483783529578386,-0.19875841841593594,-0.27250474565592553,-0.19875841841593594,-2.425445515248017,-0.8289682710172823,1.1511699981134331,-0.7010812627172888,-0.8289682710172823,0.5008557466449185,-0.5401049432135697,-0.93324258655842,-0.32416392770902375,-0.5401049432135697,-0.4286378464302399,-0.4286378464302399,-0.4286378464302399,0.17738989727609558,0.9922868223041984,0.5063332173805282,0.9276537037764189,0.1455537353909698,0.8792452534173408,0.5297077642250356,0.9276584869424706,0.11258874112588738,0.5160847380422031
gRNA_CDK12_targ_1744,CDK12,targeting,0.553557164322751,0.9029379147076663,0.9770597524907496,0.8111849438403889,0.9029379147076663,161.13964668159355,5533.0,-0.7499516787125255,-0.671413084288267,0.7161170005707534,-0.23508258747667965,-0.671413084288267,-2.4148753465970723,0.06037152562610478,-0.18124831309663836,-0.8452507113558686,-0.18124831309663836,0.33458040075485956,-0.09626713491409367,-0.09926466506875095,0.04634953359067165,-0.09626713491409367,0.955631021263361,0.955631021263361,0.955631021263361,0.12982599054647745,0.9999999323730279,0.4442409479632061,0.8988216686138352,0.17115735212418368,0.9248811300778916,0.5038924018605913,0.9677815014819904,0.19578042195780418,0.8805375318324025
gRNA_CDK12_targ_1745,CDK12,targeting,0.490372917995346,-0.5509044975516311,0.3850925418189243,0.10818698742087975,0.3850925418189243,239.4776435603444,6638.0,0.7473311642266403,-1.3007168799376263,0.3486492144354162,-0.06824550042518995,0.3486492144354162,-1.6365679850514154,-0.24820949788879093,-1.509666756246766,-1.131481413062324,-1.509666756246766,-0.589935516076028,0.7777774441120419,-0.1868427342160163,0.00033306460666585047,-0.1868427342160163,-0.056935928204666704,-0.056935928204666704,-0.056935928204666704,0.481135011065262,0.9999958419495787,0.285069449287622,0.8252871950663436,0.11487848743254028,0.8503897872491749,0.48706368303323,0.9596165700887211,0.28737126287371256,0.7921423033234614
gRNA_CDK12_targ_1746,CDK12,targeting,-0.6430719657836229,0.028660267688029324,0.013210518655798366,-0.2004003931465984,0.013210518655798366,152.635620505735,5241.0,-0.13220886288229425,0.7600064120900956,-1.171641866824372,-0.18128143920552356,-0.13220886288229425,-0.7583931629761052,1.1422316320097161,0.03507983194021466,0.13963943365794187,0.03507983194021466,0.3853233095103352,-1.373243560662066,0.9167197039667484,-0.023733515728327492,0.3853233095103352,0.6753476042000786,0.6753476042000786,0.6753476042000786,0.5601733247290936,0.9834612588872911,0.3723239347097194,0.8709390342645652,0.27984412965531646,0.9999826480401074,0.3948146779170268,0.9436052791922702,0.3264673532646735,0.9702540313265667
gRNA_CDK12_targ_1747,CDK12,targeting,0.8680785483080607,0.723476604283565,0.18797511835505828,0.5931767569822279,0.723476604283565,109.5885887178152,3471.0,0.035200691341341704,-0.6627714671084342,0.5754013792293023,-0.017389798845930022,0.035200691341341704,-0.13884562632412956,0.9845541904213383,0.9642526021991032,0.6033203887654374,0.9642526021991032,0.051473625074990044,-0.02051673447447685,1.2822352018556076,0.4377306974853736,0.051473625074990044,1.2115591321715473,1.2115591321715473,1.2115591321715473,0.21934932591801184,0.9999999323730279,0.35185606391048957,0.8610796196519422,0.11226845283864675,0.9610154369860541,0.24289919083958542,0.989975568415957,0.1155884411558844,0.7131616369415023
gRNA_CDK12_targ_1748,CDK12,targeting,1.6519652570889458,0.7512417508090922,-1.0905467361468166,0.43755342391707375,0.7512417508090922,250.9001899592085,7345.0,0.060002160517748565,-1.8183275367325524,-1.7500583230823872,-1.1694612330990637,-1.7500583230823872,-0.007365660215376304,0.3280732838191079,-0.7426936075672145,-0.1406619946544943,-0.007365660215376304,-0.2995339715411593,-2.717805982377081,0.42954666725098023,-0.86259776222242,-0.2995339715411593,-0.26184146559580973,-0.26184146559580973,-0.26184146559580973,0.15755900852496724,0.9987040367524835,0.19347742941738771,1.0,0.553366788662849,0.9999826480401074,0.17032191134823488,0.8184839729927424,0.1825817418258174,0.6544977313756106
gRNA_CDK12_targ_1749,CDK12,targeting,-0.9010002841460095,0.1759956354365601,0.10239731835120137,-0.2075357767860827,0.10239731835120137,232.72490812084115,7314.0,-0.5558173188659871,-1.1420927542361932,0.10668368115763997,-0.5304087973148467,-0.5558173188659871,0.26915720357111705,-0.13785465620076054,-2.193531573945389,-0.6874096755250109,-0.13785465620076054,-0.16326825600746156,0.6386676103787696,-1.3746765413851987,-0.2997590623379635,-0.16326825600746156,0.2859180459180006,0.2859180459180006,0.2859180459180006,0.548192031229771,0.9800215967780115,0.5329867126277346,0.9877715391493463,0.22713152602336914,0.9845737031894577,0.4884434058249004,0.9102722290623663,0.4935506449355065,0.9729737638333235
