gRNA_id,Gene,classification,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,LFC_avg_CBE_ABEMA,LFC_median_CBE_ABEMA,base_RPM,base_RAW,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,LFC_avg_CBE_ATIRMO,LFC_median_CBE_ATIRMO,CBE_DMSO_REP1,CBE_DMSO_REP2,CBE_DMSO_REP3,LFC_avg_CBE_DMSO,LFC_median_CBE_DMSO,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,LFC_avg_CBE_INX,LFC_median_CBE_INX,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,LFC_avg_CBE_PALBO,LFC_median_CBE_PALBO,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3,LFC_avg_CBE_RIBO,LFC_median_CBE_RIBO,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,LFC_avg_CBE_TAGTO,LFC_median_CBE_TAGTO,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_ABEMA,FDR_CBE_ABEMA,p_CBE_ATIRMO,FDR_CBE_ATIRMO,p_CBE_DMSO,FDR_CBE_DMSO,p_CBE_INX,FDR_CBE_INX,p_CBE_PALBO,FDR_CBE_PALBO,p_CBE_RIBO,FDR_CBE_RIBO,p_CBE_TAGTO,FDR_CBE_TAGTO,p_Plasmid,FDR_Plasmid
gRNA_CDK2_targ_6973,CDK2,targeting,-0.6440069612753679,-0.1654610911522919,-0.46748541087506007,-0.42565115443424,-0.46748541087506007,740.1767260446405,3371.0,-0.58538393743539,-0.45618247079422447,-1.5337482736545376,-0.8584382272947174,-0.58538393743539,0.4877930495966756,-0.6265992459158263,-0.19345044550340543,-0.11075221394085204,-0.19345044550340543,-0.22887336248493217,-0.8140143859322846,-0.15611758099634926,-0.3996684431378554,-0.22887336248493217,-0.9750390348015252,-1.1108560950307065,-0.23244453933504974,-0.7727798897224272,-0.9750390348015252,-0.5585783795174535,-0.4166933629994429,0.2790146249151077,-0.23208570586726288,-0.4166933629994429,-0.08947782997840341,0.44434141793078596,0.6300114626383078,0.3282916835302301,0.44434141793078596,0.6054535139753199,0.6054535139753199,0.6054535139753199,0.0953129016898439,0.30103597766544204,0.059470070115571,0.21489730576696506,0.2543628387230119,0.8238170216958605,0.3145562414985559,0.9999891536911462,0.03350365714033559,0.15104423515657464,0.14799976735206133,0.3744272310361236,0.1545049801413604,0.6644870759905024,0.26877312268773124,0.9169287616692876
gRNA_CDK2_targ_6974,CDK2,targeting,0.13831036735819136,-0.9423936221661794,0.46529181157060895,-0.11293048107912636,0.13831036735819136,143.1734457603872,582.0,0.47178181191015006,0.16342893965108585,-0.12040239931846886,0.17160278408092236,0.16342893965108585,1.0260935466772476,0.18982596170469343,1.3441975114568012,0.8533723399462474,1.0260935466772476,-0.6401323946190514,-0.5982018352555648,0.2906331382962981,-0.31590036385943937,-0.5982018352555648,-0.7352967834611756,-2.752593143637645,1.1622760934281533,-0.7752046112235558,-0.7352967834611756,-0.7710081976216915,-0.18601262473798988,2.179532732720031,0.4075039701201166,-0.18601262473798988,0.08677655790317772,-0.5325601477304477,-0.8893102908108718,-0.4450312935460472,-0.5325601477304477,1.3722191994420632,1.3722191994420632,1.3722191994420632,0.21125707850105133,0.5241836055760719,0.5664344521559228,0.8885656829296519,4.304535723901409e-05,0.010177152318652618,0.3557402231073129,0.9652871631760178,0.0010085382934995476,0.009109256763158572,0.004028426964716419,0.15499495796559157,0.44852351610781616,0.9999994916046127,0.05189481051894813,0.9771354744973821
gRNA_CDK2_targ_6975,CDK2,targeting,-0.7225656342822158,-0.5077753225401919,-1.4347104276627436,-0.8883504614950505,-0.7225656342822158,447.5632482470266,1850.0,0.23192595518602863,-0.6302937034927996,-2.2629361957677903,-0.8871013146915203,-0.6302937034927996,-0.13788232846580345,-0.714764303616016,-0.8667510337173536,-0.573132555266391,-0.714764303616016,0.01734158222339728,1.0904249728206272,-0.9510145833340145,0.05225065723667003,0.01734158222339728,-0.38324332878383366,-1.4620337746614127,-0.047731634339432075,-0.6310029125948928,-0.38324332878383366,-0.3333682185403326,-1.4732011212277625,-0.6905848310326057,-0.8323847236002336,-0.6905848310326057,-0.9654204931973672,-0.5326253699081817,-3.001777738427984,-1.4999412005111774,-0.9654204931973672,0.2778025610826692,0.2778025610826692,0.2778025610826692,9.303183099816562e-05,0.0009123526483830458,0.016342842776699642,0.08696914725221191,0.019476327433125835,0.21283496430615223,0.09794243803050955,0.4334083821938324,0.05665642155931559,0.20528830595800526,0.0022917146461806934,0.020839493073785978,0.0157919806609203,0.3959958786942894,0.42975702429757034,0.6891936775314718
gRNA_CDK2_targ_6976,CDK2,targeting,-0.9114468610572308,-0.07307806757402512,-0.04841676856361886,-0.3443138990649583,-0.07307806757402512,153.90844134693006,599.0,-0.033171923200738085,0.7512301027562641,-2.0372682649804834,-0.4397366951416524,-0.033171923200738085,1.1308770479683679,0.3977913897520024,0.21692022941557393,0.5818628890453147,0.3977913897520024,1.93810046582294,0.8313779448104616,-2.58788218093347,0.0605320765666438,0.8313779448104616,-0.7186073054744518,-1.1653884939690755,-0.5691051944515944,-0.8177003312983739,-0.7186073054744518,-1.50110429243035,-1.466611768835681,-0.21160592379250875,-1.059773995019513,-1.466611768835681,1.3631215088172564,0.9391099267811851,-0.6927810914016335,0.5364834480656028,0.9391099267811851,1.6187817782312997,1.6187817782312997,1.6187817782312997,0.12776349260699518,0.3626905321862385,0.038577625309556406,0.15764437009213791,0.0003993502091441152,0.03595810862352791,0.000340447488843074,0.014086014850882187,0.0373794689384488,0.15946742811595221,0.00042899879841809297,0.006173852272886468,0.03445994587292718,0.39224101236405784,0.02549745025497451,0.9907660953806339
gRNA_CDK2_targ_6977,CDK2,targeting,-1.2545334871518647,-1.2959879413749518,-0.6747620024536612,-1.0750944769934925,-1.2545334871518647,376.9611350987055,1615.0,-0.221113789127953,-1.7801967546346893,-1.7274559468846595,-1.2429221635491006,-1.7274559468846595,0.682002642966732,-0.18302981648457314,-0.16266337607489567,0.11210315013575438,-0.16266337607489567,0.7221159645340881,-0.5498036490838379,-2.450408490948768,-0.7593653918328392,-0.5498036490838379,-0.641752159801878,-2.0832321464061536,-0.42764428128719195,-1.0508761958317412,-0.641752159801878,-0.251186160768226,-1.0319444041712886,0.20398530359391942,-0.3597150871151984,-0.251186160768226,-0.1732112906347875,0.8085424159584574,0.6699625675399975,0.43509789762122253,0.6699625675399975,0.9251387238714621,0.9251387238714621,0.9251387238714621,0.00013422706635512504,0.0012990982153083738,0.008801200771544235,0.05414865158701007,0.24476134661916704,0.820000058005509,0.06607806984145304,0.7617875466554471,0.011978020454966907,0.0710524152436209,0.055971924770728355,0.19542939977965282,0.09656942049733136,0.5667460671031327,0.1430856914308569,0.9577033518795318
gRNA_CDK2_targ_6978,CDK2,targeting,-1.5388120954035853,0.34083807552047746,0.34678116302199485,-0.2837309522870377,0.34083807552047746,330.6926490571775,1754.0,0.1422553464700227,-0.48678748371922054,-0.30287330459792,-0.21580181394903927,-0.30287330459792,0.1381527771259126,0.16766348631688743,0.41464605207105826,0.2401541051712861,0.16766348631688743,0.8814745155368775,-0.07092786250394924,0.7343370809591393,0.5149612446640225,0.7343370809591393,-0.07082446885350595,-1.969569003281388,0.7633951153772045,-0.42566611891922973,-0.07082446885350595,-0.2723240132908628,0.009364981803071203,0.5795683159083288,0.10553642814017906,0.009364981803071203,-0.42249346733665616,0.853352074587622,0.7941685533828676,0.4083423868779445,0.7941685533828676,0.9905832245167657,0.9905832245167657,0.9905832245167657,0.0037253397593152477,0.02399002841115461,0.3823490968818458,0.6605300160119569,0.24172918569832555,0.816452657817814,0.02040714701301778,0.21228939716876408,0.06812872676440881,0.23070143017681705,0.46107433730219893,0.820384958216407,0.07388180769388039,0.5137579484595464,0.11578842115788425,0.96794685610804
gRNA_CDK2_targ_6979,CDK2,targeting,-0.12731227926915367,-0.9494803617833668,-0.2939010006033202,-0.45689788055194697,-0.2939010006033202,405.9100841477221,1949.0,0.10843964445808181,-0.5688673744079906,-1.9424741646861206,-0.8009672982120097,-0.5688673744079906,-0.10725730340593523,-0.9046558404027247,-0.2774810609583182,-0.4297980682556594,-0.2774810609583182,-0.7142960637352367,-1.0298285435803252,-0.2586245639600442,-0.6675830570918686,-0.7142960637352367,-0.46538833513471545,-1.935102091909088,-0.272373105129547,-0.8909545107244501,-0.46538833513471545,-0.007718741494135986,-0.534956470784889,-0.47515958732834,-0.3392782665357883,-0.47515958732834,0.02889767938313007,0.05400925783311454,0.3082720553321035,0.13039299751611602,0.05400925783311454,0.6583031284186646,0.6583031284186646,0.6583031284186646,0.06079923629769229,0.2177981300274475,0.02807564468175472,0.12626410855517406,0.0660717747423627,0.4575263062703358,0.10180932461289757,0.8359345250100612,0.018645285666398125,0.1003586432211208,0.09310961346255087,0.2761584413629421,0.30658446400631356,0.859023714345524,0.2565743425657434,0.919682321752877
gRNA_CDK2_targ_6980,CDK2,targeting,-0.49561027700824295,-1.2278189739863907,-0.5386044037610271,-0.754011218251887,-0.5386044037610271,299.6945156944957,1246.0,-0.09379153814722191,-0.6838786408719589,-2.9756677496526787,-1.2511126428906199,-0.6838786408719589,0.8497664899732953,-0.024043357968949162,-0.0932418265590828,0.24416043514842112,-0.024043357968949162,0.0007117957866581271,0.811136137587825,0.11269891050803074,0.3081822812941713,0.11269891050803074,-0.7708800036792728,-1.2823515164432322,-0.7110332460585321,-0.9214215887270124,-0.7708800036792728,-0.168621747729605,-0.11169727480196749,-0.08047832138092817,-0.12026578130416687,-0.11169727480196749,0.21296219950778614,0.0771971719947984,-0.5894658933792485,-0.09976884062555465,0.0771971719947984,1.2487403250454354,1.2487403250454354,1.2487403250454354,0.006775459925267033,0.0400478077725605,0.000619914722420012,0.006682158476988332,0.08453200409215544,0.5757220854836101,0.10330701699179565,0.44346383047209553,0.026956436689713145,0.13142554283523894,0.31478840406896996,0.6077216504753381,0.45775273719270526,0.9628611521483806,0.0640935906409359,0.9771354744973821
gRNA_CDK2_targ_6981,CDK2,targeting,-1.4169092737544566,-0.6167990393997945,-1.6329969571448393,-1.2222350900996968,-1.4169092737544566,302.4019713609505,956.0,0.1642598509694353,-0.6713462885618277,-3.0070829622216264,-1.1713897999380063,-0.6713462885618277,0.18684350182448506,-0.8795917569826552,-0.05855081547740015,-0.2504330235451901,-0.05855081547740015,-0.3082999005434575,-0.9111722813345275,-0.016276387049873088,-0.41191618964261933,-0.3082999005434575,-1.829784406626893,-3.331819447243853,-1.5962147834148868,-2.252606212428544,-1.829784406626893,-1.5160409075778625,-1.22881759651552,-0.6248780813616422,-1.1232455284850082,-1.22881759651552,1.0705232756949947,0.4099572013024841,0.19720121971353144,0.5592272322370034,0.4099572013024841,0.9376461528808482,0.9376461528808482,0.9376461528808482,2.171954948316548e-07,4.924089643101215e-06,0.0007764950438662602,0.007981983214898514,0.15418422150264632,0.6787509692581867,0.27846189734610977,0.9999891536911462,2.188804296750306e-06,9.660431946929925e-05,0.00020707692469695482,0.003725133808407176,0.051056427810274606,0.45186303757221646,0.1430856914308569,0.9577033518795318
gRNA_CDK2_targ_6982,CDK2,targeting,-0.7008144616755043,-0.30552773700143937,-1.124816654204242,-0.7103862842937284,-0.7008144616755043,448.6045773495092,2022.0,-0.1082844759563388,-0.8631207988227865,-1.0668424843982545,-0.6794159197257933,-0.8631207988227865,-0.035777775185863475,-0.5059353092054053,-0.5429864062524344,-0.3615664968812344,-0.5059353092054053,-0.6714815582130877,0.18163353599409196,-1.0725999436047735,-0.5208159886079231,-0.6714815582130877,-1.298769537372391,-2.0158204529533443,0.21996890420203913,-1.031540362041232,-1.298769537372391,-1.1736137551398091,-0.5925130450725883,0.04725433964501199,-0.5729574868557952,-0.5925130450725883,-1.433697318392924,-0.4178755210913816,-0.45272787433818135,-0.7681002379408289,-0.45272787433818135,0.6031226841764871,0.6031226841764871,0.6031226841764871,0.006671213015170679,0.03957296609357517,0.10364695311602969,0.30613687283849667,0.09720792845529337,0.5380572628545502,0.1546936265730198,0.9079940037494554,0.010095269725656513,0.06376973815252492,0.011380369555023155,0.06585493571175988,0.21028481474873276,0.9999994916046127,0.26877312268773124,0.9169287616692876
