gRNA_id,Gene,classification,DMSO_REP1,DMSO_REP2,DMSO_REP3,LFC_avg_DMSO,LFC_median_DMSO,base_RPM,base_RAW,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,LFC_avg_KB-0742_1500nM,LFC_median_KB-0742_1500nM,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,LFC_avg_KI-CDK9d-32N_1250nM,LFC_median_KI-CDK9d-32N_1250nM,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,LFC_avg_KI-CDK9d-32N_5000nM,LFC_median_KI-CDK9d-32N_5000nM,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,LFC_avg_KI-CDK9d-32_1000nM,LFC_median_KI-CDK9d-32_1000nM,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,LFC_avg_KI-CDK9d-32_100nM,LFC_median_KI-CDK9d-32_100nM,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,LFC_avg_SEL120_4000nM,LFC_median_SEL120_4000nM,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,LFC_avg_Senexin B_15000nM,LFC_median_Senexin B_15000nM,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,LFC_avg_Senexin B_2000nM,LFC_median_Senexin B_2000nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_DMSO,FDR_DMSO,p_KB-0742_1500nM,FDR_KB-0742_1500nM,p_KI-CDK9d-32N_1250nM,FDR_KI-CDK9d-32N_1250nM,p_KI-CDK9d-32N_5000nM,FDR_KI-CDK9d-32N_5000nM,p_KI-CDK9d-32_1000nM,FDR_KI-CDK9d-32_1000nM,p_KI-CDK9d-32_100nM,FDR_KI-CDK9d-32_100nM,p_SEL120_4000nM,FDR_SEL120_4000nM,p_Senexin B_15000nM,FDR_Senexin B_15000nM,p_Senexin B_2000nM,FDR_Senexin B_2000nM,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.4003976271116046,0.3787281028379339,0.6553460755133467,0.47815726848762835,0.4003976271116046,430.1177169503596,12563.0,1.0266761467146646,-0.03738542623193693,0.6474999318064987,0.5455968840964087,0.6474999318064987,0.6416879638488759,0.370519484704235,0.32768903861498083,0.44663216238936393,0.370519484704235,0.3107063755426497,-0.8902530271113986,1.5893548469108187,0.3366027317806899,0.3107063755426497,0.17748711901449762,1.4441364366807343,0.3632366012205933,0.661620052305275,0.3632366012205933,0.1461626959844268,0.44397194105172644,0.3970566856058169,0.3290637742139901,0.3970566856058169,0.9757941019037997,1.1099305602645821,0.7545810305573752,0.946768564241919,0.9757941019037997,0.3682635024967719,0.6039497619322391,0.5416580263607319,0.504623763596581,0.5416580263607319,0.5205490868304559,0.3521702341371851,0.37733008677262675,0.4166831359134226,0.37733008677262675,0.17272935207824117,0.17272935207824117,0.17272935207824117,0.2851526071438533,0.579647518617066,0.2377946265365025,0.5356265102678646,0.29752214309667663,0.5752375712846509,0.1380886858721704,0.5569137670029021,0.12394506963683727,0.4362105330148279,0.43158970754108317,0.8091980191340409,0.07932124904401552,0.23822553343252187,0.2824103151400876,0.5958115613079128,0.31193098172266026,0.6117611926026312,0.4128587141285871,0.934792235062208
gRNA_CDK7_targ_2,CDK7,targeting,0.6049137309145732,0.6173731925906173,-0.6463364078767931,0.1919835052094658,0.6049137309145732,288.51404925102923,8427.0,0.284868975715422,0.3539430494407883,-0.6647837495141483,-0.008657241452645978,0.284868975715422,-0.029859104348056737,-0.1449920484592613,0.15997888664850654,-0.0049574220529371715,-0.029859104348056737,-1.2284806619354278,-0.3346134732792941,-0.6533588760697003,-0.7388176704281407,-0.6533588760697003,-1.3997347997300729,-1.3128174381726287,-0.772434149026262,-1.1616621289763212,-1.3128174381726287,0.2554107498893683,-0.6266147029203778,-1.5425442994896312,-0.637916084173547,-0.6266147029203778,0.8707058327677357,0.009043666464447481,-0.15679450696019107,0.24098499742399737,0.009043666464447481,0.08448510522901208,-0.14795235959281478,0.6755521910842173,0.20402831224013818,0.08448510522901208,0.7157088465366634,0.8384573015366313,0.5203067766466966,0.6914909749066638,0.7157088465366634,0.6094339386499622,0.6094339386499622,0.6094339386499622,0.43428100447648277,0.74284908660451,0.5491257516691244,0.9603754433914442,0.6422217970558968,0.9492504092921484,0.44733030890010184,0.999999985759941,0.30222782343324994,0.999999486465432,0.11952127103014153,0.778896058032873,0.3815117858213315,0.6600298956224557,0.4441574113849345,0.7550122870989234,0.17025440514271747,0.43072498990573405,0.4192580741925809,0.8228429493499252
gRNA_CDK7_targ_3,CDK7,targeting,0.40240544087943014,0.516557256566279,0.2614461787878798,0.3934696254111964,0.40240544087943014,187.6180123289,5480.0,0.7577170912577862,-0.1685882485939733,1.1617184596956331,0.5836157674531487,0.7577170912577862,0.9616696819262271,0.4844377082150934,0.5569826258071208,0.6676966719828138,0.5569826258071208,-0.7735476817000455,-0.6482107119654992,0.23684301351884926,-0.3949717933822318,-0.6482107119654992,-0.7411595341651247,-0.6569284903353845,0.5527425101117646,-0.2817818381295815,-0.6569284903353845,0.8328420335466508,1.4560678550160961,0.48223552021377863,0.9237151362588417,0.8328420335466508,0.4997202852191663,1.2604041950239115,0.24625918923620346,0.6687945564930938,0.4997202852191663,1.385754997388367,0.7042263598203723,0.6176065313665897,0.9025292961917764,0.7042263598203723,0.8475625409289772,0.5428803980772646,0.9950702807756838,0.7951710732606418,0.8475625409289772,0.2962552290717325,0.2962552290717325,0.2962552290717325,0.31176894475546973,0.6088191839645439,0.21923164117984986,0.50893059559608,0.18539555329145724,0.41148769145177094,0.5772717206709093,0.9782444428501441,0.4936289681845172,0.8352163985482987,0.10817052976837756,0.3796353174656706,0.16502151933053313,0.39072744819805333,0.0888494416529628,0.29198830584601493,0.1338600303264934,0.37790887568906617,0.4442555744425559,0.9193771980826607
gRNA_CDK7_targ_4,CDK7,targeting,-0.06590666044599434,-0.20818227831769612,0.5941582632977113,0.10668977484467361,-0.06590666044599434,609.9345943558236,21615.0,0.015008520764017614,0.013489069164698952,-0.2581343333790589,-0.0765455811501141,0.013489069164698952,0.03918018766377131,-0.25250226212839016,-0.19441227121953694,-0.13591144856138526,-0.19441227121953694,-0.6479728217888145,0.7608573930970285,-0.4225160446596663,-0.10321049111715079,-0.4225160446596663,-1.6191741197762635,-0.9635916864897536,0.041256168102776096,-0.847169879387747,-0.9635916864897536,0.3006557937754036,0.47047683836349463,0.05105028181214732,0.2740609713170152,0.3006557937754036,0.14511111847760083,0.19845090886997133,-0.6442464628936322,-0.10022814518202001,0.14511111847760083,0.18889085129580802,-0.3501318928419907,0.35326276042837185,0.06400723962739639,0.18889085129580802,-0.2804289399153243,-0.4640906271887772,-0.16617841477108422,-0.30356599395839523,-0.2804289399153243,-0.7262759167464039,-0.7262759167464039,-0.7262759167464039,0.5343295577749767,0.8320973901161687,0.5551676847550451,0.9999999950247569,0.5223314015888181,1.0,0.37917039104886,0.8551029237849908,0.4028195937474565,0.9774542368497342,0.47015534052294716,0.8477701979046537,0.6008202922360959,0.8761962595109731,0.5474498530153165,0.8429430900912656,0.49767954843918527,0.9971426884197069,0.1011898810118988,0.6940913948806123
gRNA_CDK7_targ_5,CDK7,targeting,0.1319516621049534,0.04035137409071847,0.04171803279751362,0.07134035633106184,0.04171803279751362,204.10338530800016,4538.0,0.6955541256266724,1.245154313272885,-0.1419250865740932,0.5995944507751547,0.6955541256266724,0.8685190114799356,0.3471654205212337,0.6713275286103616,0.6290039868705103,0.6713275286103616,1.439368585914487,-0.4850610035165011,-0.052811038044284914,0.30049884811790034,-0.052811038044284914,0.2648956211884289,-0.4764838895274871,1.0343486436269371,0.274253458429293,0.2648956211884289,-0.8567611377069321,0.7444656189073867,1.3556987983877298,0.41446775986272816,0.7444656189073867,-0.7128021797172885,0.9661521920106012,-0.10347681207366685,0.049957733406548605,-0.10347681207366685,-0.13621874056184743,0.2249835925051415,-0.08995946264158854,-0.0003982035660981588,-0.08995946264158854,-0.29003702789276303,0.5543276909421145,0.4926746091168708,0.2523217573887408,0.4926746091168708,-0.390314583724179,-0.390314583724179,-0.390314583724179,0.5425743656891038,0.8386322553509966,0.20993665280915869,0.4957846558555391,0.20488878282058687,0.44077728691899304,0.1636123960239826,0.5979408850675668,0.23519227188727215,0.5874427285016038,0.23724976137579573,0.5882759750734989,0.4419410973137833,0.7281456204326489,0.5905850110088331,0.869725822529425,0.38418414643500604,0.6877526031262731,0.18468153184681535,0.8589107017747971
gRNA_CDK7_targ_6,CDK7,targeting,-0.16003825932656635,-0.26597473959872536,-0.042138585421291425,-0.1560505281155277,-0.16003825932656635,782.9620641116692,20820.0,0.1530523007491021,-0.017808242606577287,-0.5558694342416137,-0.1402084586996963,-0.017808242606577287,-0.5802742885349832,-0.34615488671141936,-0.26878392864640394,-0.3984043679642688,-0.34615488671141936,-0.5509029500105486,-1.4259515925167119,-0.8354218059185391,-0.9374254494819332,-0.8354218059185391,-0.6215441764274847,-0.893207237518097,0.13015081642161813,-0.4615335325079879,-0.6215441764274847,-0.15302121267965385,-0.04222459153388452,0.4316620831607525,0.07880542631573804,-0.04222459153388452,-0.43125498355948483,-0.014894896581147107,-0.4860452040517315,-0.3107316947307878,-0.43125498355948483,-0.6045501849654316,-0.27783669226856555,-0.029545156256957805,-0.30397734449698494,-0.27783669226856555,-0.8172183623681919,-0.005588914276586887,-0.49459023267964547,-0.43913250310814145,-0.49459023267964547,-1.3667171703930276,-1.3667171703930276,-1.3667171703930276,0.5726661511759727,0.9769075126898109,0.4878714764743318,0.9999999950247569,0.3261647135557596,1.0,0.3404332594987453,0.999999985759941,0.6114277147120459,0.9061876553549866,0.627497353428224,0.9925074014247112,0.4939905967324759,0.9988900474804526,0.5025731543149494,0.9716997523001543,0.3418155485212366,0.9999999518601295,0.01479852014798519,0.3922326213980541
gRNA_CDK7_targ_7,CDK7,targeting,-0.4230443612380934,-0.4649955201365984,0.8811642714888278,-0.002291869961954666,-0.4230443612380934,370.8670221698739,8398.0,-0.4571282514386758,0.23905217566814946,0.18179857767280558,-0.012092499365906922,0.18179857767280558,0.5718394213462126,0.4893424101722355,0.6659607701626513,0.5757142005603665,0.5718394213462126,0.3241306989523859,-0.06524412159119035,0.6046831006061524,0.2878565593224493,0.3241306989523859,-0.7720811763235913,0.02596071439474483,0.5984203728019042,-0.049233363042314106,0.02596071439474483,-0.06679295452850463,0.7688713677106482,0.7270740601186417,0.4763841577669285,0.7270740601186417,0.06067151398306169,0.48207520365445106,0.2093695579818808,0.2507054252064645,0.2093695579818808,-0.2419342246757788,-0.2935854619179891,-0.057193430758731,-0.19757103911749962,-0.2419342246757788,-0.26735333946556705,-0.12885220684716245,0.44278205498157847,0.015525502889616313,-0.12885220684716245,0.19829206271015962,0.19829206271015962,0.19829206271015962,0.5570942283815556,0.8533659920975728,0.5764970418280686,0.9834611569893797,0.21483000878730038,0.4560543732420918,0.215431590749576,0.6846661731622148,0.37445850882334497,0.7350583194535303,0.2952512444773652,0.6536762287822921,0.38425318857007,0.6618367222689533,0.5845382450329917,0.9406505215144706,0.5631750406521916,0.8598813540159301,0.42725727427257276,0.9193771980826607
gRNA_CDK7_targ_8,CDK7,targeting,-0.2698266465804072,-0.13893332026765165,0.1805676570418592,-0.07606410326873322,-0.13893332026765165,311.5554548033822,6169.0,0.6124581469131204,0.6238554777404844,0.8495673222738256,0.69529364897581,0.6238554777404844,0.592072185363367,0.4398166932109861,0.38502964106474935,0.4723061732130342,0.4398166932109861,-0.02286644084967058,0.42071339103993277,0.04453485228366963,0.14746060082464393,0.04453485228366963,-1.7845882848707364,-0.1242648088192163,-0.18458408463112727,-0.6978123927736933,-0.18458408463112727,0.32128840975285194,0.5495574220847297,-0.7284301501610247,0.04747189389218561,0.32128840975285194,0.20720575003994599,0.6841107437239288,0.4365021630475555,0.4426062189371434,0.4365021630475555,0.31579423946685203,-0.07962602036468167,0.6954856086044428,0.3105512759022044,0.31579423946685203,0.4984977629475905,0.4267434359375782,0.2482015025988977,0.3911475671613555,0.4267434359375782,0.7588095611929497,0.7588095611929497,0.7588095611929497,0.6263420492762255,0.9347387549691907,0.21268074711541798,0.49983198207949614,0.2888729583992733,0.5641081376466496,0.2878250177003381,0.7520657245963613,0.4547410911105967,0.9525440908228401,0.5416986019942931,0.9213903485246878,0.26893061063614926,0.5278077405008538,0.3841613983588379,0.7027950767020366,0.3288304134856795,0.6290869157784899,0.3596640335966404,0.8061435235786767
gRNA_CDK7_targ_9,CDK7,targeting,0.2104160043562928,0.1616329599944883,0.2353071423069374,0.20245203555257282,0.2104160043562928,299.16171381933,8379.0,0.6325039861597717,0.0022868899880434095,-1.578498124460324,-0.31456908277083634,0.0022868899880434095,0.328723108532042,0.17174203779060143,-0.07774659457366187,0.14090618391632723,0.17174203779060143,0.11384890012639251,-1.7869911977468642,-2.0072875914623234,-1.2268099630275984,-1.7869911977468642,0.931833620875813,-0.7623926616562235,0.47474380320141807,0.21472825414033583,0.47474380320141807,0.5601427463576755,1.0877990692745183,0.6294232685089753,0.759121694713723,0.6294232685089753,0.059079943831571835,-0.12576531762919627,-0.0767713841289615,-0.04781891930886198,-0.0767713841289615,0.09730063794375733,0.5214616675935818,-0.5136562067448173,0.03503536626417395,0.09730063794375733,-0.2829268656687559,-0.022561664493895132,0.6795684574195913,0.12469330908564674,-0.022561664493895132,0.03540121693639775,0.03540121693639775,0.03540121693639775,0.43003340435255544,0.7383592414355197,0.24092996110274534,0.9869908368773719,0.5308091925286471,0.8444691699319387,0.11696906521231856,0.7317204776979533,0.24280069491914458,0.5976969315863523,0.1588356747164848,0.4677684918834989,0.6191950169195068,0.8932433233136265,0.5468139401563858,0.8424390838752446,0.46887823724762245,0.7711120691544192,0.34866513348665135,0.9679844701357415
gRNA_CDK7_targ_10,CDK7,targeting,0.16200019500701954,0.12285225283068622,1.0190178208426508,0.4346234228934522,0.16200019500701954,139.42230039636297,2860.0,0.2953902509602418,0.07840285825151928,0.7475566160562666,0.3737832417560092,0.2953902509602418,0.8729474007713182,0.800553566751681,1.1873360902458339,0.9536123525896111,0.8729474007713182,0.6281959591433901,-0.5955889636984132,0.8160926648351542,0.2828998867600437,0.6281959591433901,0.12231138588625179,0.49843338119884967,-0.15732285247473737,0.15447397153678802,0.12231138588625179,0.1525770357101386,0.10916929644095834,-1.3552639128741077,-0.3645058602410036,0.10916929644095834,0.40947042320086435,0.3597301715672053,0.9256282269256457,0.5649429405645718,0.40947042320086435,-0.4026659826296956,0.6125645239996705,0.5621922439374614,0.2573635951024788,0.5621922439374614,0.09928845064173585,0.4003269490109242,0.7254789511245837,0.4083647835924146,0.4003269490109242,0.811076698355533,0.811076698355533,0.811076698355533,0.31164458545849,0.6088191839645439,0.3931006994558703,0.7286758525081954,0.10621868702822647,0.2958949138643452,0.19979836174175736,0.6643721407490836,0.3039478213189408,0.6638220417605668,0.23340501729205929,0.9999999954912064,0.19850897328499198,0.43809983594828467,0.3950656582866586,0.7113702628941984,0.31046950758144953,0.6097710472642858,0.34476552344765526,0.7902685801948773
