gRNA_id,Gene,classification,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,base_RPM,base_RAW,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,LFC_avg_ABE_SY-5609_100nM,LFC_median_ABE_SY-5609_100nM,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,LFC_avg_ABE_SY-5609_10nM,LFC_median_ABE_SY-5609_10nM,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_SY-5609_100nM,FDR_ABE_SY-5609_100nM,p_ABE_SY-5609_10nM,FDR_ABE_SY-5609_10nM,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,-0.6251861131506145,0.21139763196670988,0.029103343236141374,-0.12822837931592104,0.029103343236141374,718.2886167508334,17480.0,0.5356184571079886,0.6024979018733359,0.7357195036341674,0.6246119542051639,0.6024979018733359,0.22658289867950115,0.0765358687064318,0.2620001340506828,0.1883729671455386,0.22658289867950115,-0.5657595686928464,-0.5657595686928464,-0.5657595686928464,0.5659831710639047,0.9526501740911736,0.2075222029063666,0.995104576085388,0.3876188230619418,0.9809943541814092,0.06779322067793223,0.36648612366486133
gRNA_CDK7_targ_2,CDK7,targeting,-0.15136212015315528,0.4350278851589858,-0.013991670893607843,0.08989136470407422,-0.013991670893607843,403.06291086709024,9821.0,-0.573546709386826,-0.5478774104055492,0.010485921547437684,-0.37031273274831245,-0.5478774104055492,-1.3295765998792046,-0.47679213671046855,-0.6785859431623799,-0.8283182265840177,-0.6785859431623799,0.12848736632641217,0.12848736632641217,0.12848736632641217,0.3902430880991765,0.8520013253088388,0.37508088606677886,0.7535051450102088,0.17661021217325748,0.5770859909319486,0.3345665433456653,0.8394914185052079
gRNA_CDK7_targ_3,CDK7,targeting,-1.2618900917979374,-2.0156481320858823,-0.842027158728539,-1.373188460870786,-1.2618900917979374,325.49751266800445,8726.0,0.2982294043677569,-0.0677729606885066,0.5223951269871093,0.2509505235554532,0.2982294043677569,-1.6188852121086401,-0.585703845083066,-1.2185936469696526,-1.1410609013871194,-1.2185936469696526,-0.49534931728350157,-0.49534931728350157,-0.49534931728350157,0.008422458075789339,0.33813691980742494,0.4507110013303649,0.9541158945809046,0.0711847730752048,0.37519894617815586,0.08269173082691728,0.4134586541345864
gRNA_CDK7_targ_4,CDK7,targeting,0.5521082299744287,0.533602360332419,-0.002670916084453875,0.36101322474079794,0.533602360332419,290.6639666522941,7229.0,0.13053554694377884,0.3533125858890194,-0.2654711766152164,0.07279231873919395,0.13053554694377884,-0.9294074265748499,0.04756754185785141,0.2853231770882226,-0.19883890254292527,0.04756754185785141,0.3404348581701653,0.3404348581701653,0.3404348581701653,0.15868733511271071,0.6044857310495528,0.5799707047989311,0.91750425785042,0.5463253243826602,0.8806662347574222,0.4427557244275572,0.919880614678258
gRNA_CDK7_targ_5,CDK7,targeting,0.7183253775030147,0.34934226310058136,0.43100895611799456,0.4995588655738636,0.43100895611799456,213.18475494170525,6037.0,0.1289684778334175,-0.028930405150760417,-0.8242661133197914,-0.24140934687904478,-0.028930405150760417,-1.977763592214384,-0.29530224856955084,0.9420338467702859,-0.443677331337883,-0.29530224856955084,-0.452819076324793,-0.452819076324793,-0.452819076324793,0.08129611703015187,0.438613437731847,0.4335592412748668,0.7943736434096553,0.2140997005016126,0.624021453243805,0.08939106089391062,0.43192494909801066
gRNA_CDK7_targ_6,CDK7,targeting,-0.5928606798409003,-0.2587431513540674,-0.4501030227866461,-0.4339022846605379,-0.4501030227866461,1019.3001317957912,22952.0,0.5355944043712046,0.3443265250724009,-0.5998024507320151,0.09337282623719682,0.3443265250724009,-0.5458214102733334,-0.8796179164176872,-0.0797478786008985,-0.5017290684306397,-0.5458214102733334,-1.7468550194353332,-1.7468550194353332,-1.7468550194353332,0.3180926440522465,0.9999917603470893,0.5153754991855537,0.8991029550357803,0.37530157810363235,0.7727941768000551,9.999000099990012e-05,0.0032888277437316546
gRNA_CDK7_targ_7,CDK7,targeting,-0.1441173498145076,0.4720592807874572,-0.5736871213387829,-0.08191506345527777,-0.1441173498145076,682.0358384866813,16700.0,-0.38734709542621165,-0.11957532122895055,-0.8712541157075996,-0.4593921774542539,-0.38734709542621165,-1.2649042387175247,0.5940309126165727,0.5920114623145585,-0.026287287928797826,0.5920114623145585,-0.6788824022914219,-0.6788824022914219,-0.6788824022914219,0.49279676310698617,0.9145718309191518,0.3099247119578235,0.703905543797719,0.308808646059016,0.876624713482704,0.0542945705429457,0.32648497264810966
gRNA_CDK7_targ_8,CDK7,targeting,0.5319063865557293,0.5883860803453616,-0.3069411712733158,0.27111709854259164,0.5319063865557293,315.8444814104073,8070.0,-0.13253022816049553,-0.5117842633719695,1.9420241935957507,0.4325699006877619,-0.13253022816049553,-0.827340092459655,-1.637596976280084,0.14227126859614656,-0.7742219333811975,-0.827340092459655,0.7391468544047307,0.7391468544047307,0.7391468544047307,0.1918827121547431,0.6547997552280608,0.14006402658336303,0.9082195903386633,0.16051091330210004,0.5586332525209808,0.30996900309969,0.7806414930462673
gRNA_CDK7_targ_9,CDK7,targeting,0.7445315057878905,0.08560263759775752,0.6555490202486542,0.49522772121143416,0.6555490202486542,243.4116426617607,5481.0,0.0812076902339527,0.982682682654295,-0.06861846955330696,0.331757301111647,0.0812076902339527,-0.3646827975940964,0.4988361693453379,0.7697127460084091,0.30128870591988355,0.4988361693453379,0.3318281769746196,0.3318281769746196,0.3318281769746196,0.07043811623435844,0.4140909858551456,0.32982648376588114,0.957018784025884,0.21899163445253306,0.9800692726370448,0.4427557244275572,0.919880614678258
gRNA_CDK7_targ_10,CDK7,targeting,1.0168592422348723,-0.345629083199537,-0.5771142004453284,0.031371986196669,-0.345629083199537,152.81508162727943,3441.0,-1.930841471901929,0.1884776974069764,1.445761281756165,-0.09886749757959586,0.1884776974069764,-0.6889863626800505,-0.41222126365347367,-2.4695102302702034,-1.1902392855345758,-0.6889863626800505,0.6796517988486774,0.6796517988486774,0.6796517988486774,0.21252658654339168,0.6756000088357913,0.24749087834133424,0.6523558548053465,0.06330567230958596,0.35523215053069235,0.3419658034196582,0.8146305788269345
