gRNA_id,Gene,classification,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,LFC_avg_ABE_BSJ-4-116,LFC_median_ABE_BSJ-4-116,base_RPM,base_RAW,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,LFC_avg_ABE_CDK12-IN-2,LFC_median_ABE_CDK12-IN-2,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,LFC_avg_ABE_DMSO,LFC_median_ABE_DMSO,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,LFC_avg_ABE_HQ461,LFC_median_ABE_HQ461,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_ABE_BSJ-4-116,FDR_ABE_BSJ-4-116,p_ABE_CDK12-IN-2,FDR_ABE_CDK12-IN-2,p_ABE_DMSO,FDR_ABE_DMSO,p_ABE_HQ461,FDR_ABE_HQ461,p_Plasmid,FDR_Plasmid
gRNA_CDK12_targ_1740,CDK12,targeting,-0.9240585587636264,-1.1084781220718254,-2.058780365445703,-1.363772348760385,-1.1084781220718254,167.41884753794437,5070.0,-1.3099760102493923,-1.6342707249595019,-0.45064150657535956,-1.1316294139280847,-1.3099760102493923,-0.6102836413199008,-0.1073245187640702,-0.7765183219590455,-0.4980421606810055,-0.6102836413199008,-1.8234412838192728,-1.5899902477544643,-1.139690012109959,-1.5177071812278988,-1.5899902477544643,0.9648970040534124,0.9648970040534124,0.9648970040534124,0.03301997797069399,0.5789294821618899,0.23866609316387533,0.9999999674803077,0.3325592440874373,0.9999951895577452,0.15385783161784308,0.9833536717203211,0.2218778122187781,0.923699497125058
gRNA_CDK12_targ_1741,CDK12,targeting,-0.17903587556419728,0.06138579634262164,0.17748435811443916,0.019944759630954507,0.06138579634262164,143.35532688014527,2891.0,0.2505710270215751,0.590964219271903,-0.3917216313804257,0.14993787163768413,0.2505710270215751,0.3576363603734754,1.6516125588174626,0.022660901366596542,0.6773032735191782,0.3576363603734754,0.05598087939883611,0.7590599458155418,0.8686532031957163,0.5612313428033647,0.7590599458155418,1.132640450263252,1.132640450263252,1.132640450263252,0.584918058727874,0.999999633233141,0.34068994231044364,0.85050186623961,0.13409055963474853,0.9627623072300234,0.15446303334135242,0.9294147893446151,0.16448355164483555,0.874808909767197
gRNA_CDK12_targ_1742,CDK12,targeting,-1.8719247768764191,-0.4343478092323529,-0.07659359237272849,-0.7942887261605002,-0.4343478092323529,216.606642559273,4875.0,-0.9329997784355424,-0.007506350674797626,-1.877387241731251,-0.9392977902805303,-0.9329997784355424,-1.567075205778786,-0.7309713537718351,-0.9073749585246083,-1.0684738393584097,-0.9073749585246083,-0.9996335776405362,-1.2993501726865497,0.8924953663086818,-0.46882946133946807,-0.9996335776405362,-0.14967003540210505,-0.14967003540210505,-0.14967003540210505,0.13534421999028118,0.8927583508302016,0.3020339105798745,0.9999999674803077,0.0840662469912872,0.9999951895577452,0.5132128122555644,1.0,0.27737226277372257,0.8607689291384492
gRNA_CDK12_targ_1743,CDK12,targeting,2.2266620354665636,0.6922712161635941,0.060236944291203125,0.993056731973787,0.6922712161635941,99.12808606148474,2231.0,0.051818154974367134,-0.18966394851621718,0.5244515955164795,0.1288686006582098,0.051818154974367134,0.6178673129032372,0.48330610485105713,0.0908266736022727,0.3973333637855223,0.48330610485105713,0.4993761456205461,-1.061820238232664,-0.4867334573192486,-0.34972584997712214,-0.4867334573192486,0.48589196618506597,0.48589196618506597,0.48589196618506597,0.050064500299947,0.8289591410208912,0.3754104428507094,0.8744009740656714,0.33046793299596183,0.9999951895577452,0.5295378899956187,1.0,0.40005999400060005,0.923699497125058
gRNA_CDK12_targ_1744,CDK12,targeting,0.6409243858560969,-0.37604007322348265,0.8100706656865718,0.35831832610639536,0.6409243858560969,148.18115957644628,3335.0,-1.0265000523010261,-0.20625822739225094,0.3740834002354032,-0.28622495981929125,-0.20625822739225094,-0.17020499897525015,0.3820774206604983,-0.6733713500133165,-0.15383297610935612,-0.17020499897525015,-1.1730417991179054,0.6667829888686633,-1.0151232780195352,-0.507127362756259,-1.0151232780195352,1.0758025797718833,1.0758025797718833,1.0758025797718833,0.3092971856747588,0.999999633233141,0.5645886677422542,0.9573032513303008,0.5491110674929431,0.9999951895577452,0.5195361337549871,1.0,0.1777822217778222,0.891291303413428
gRNA_CDK12_targ_1745,CDK12,targeting,-1.9999065482885066,-2.7346801917410755,-2.414206412992101,-2.3829310510072275,-2.414206412992101,344.6156142953275,7756.0,-3.232294000728262,-4.058156942180359,-2.7906975517811397,-3.3603828315632533,-3.232294000728262,-1.1014354136447027,-1.4523074677925378,-1.1821036678373285,-1.2452821830915228,-1.1821036678373285,-3.456114169699122,-4.483773547464273,-1.7797434239581773,-3.2398770470405243,-3.456114169699122,-0.5802015480880164,-0.5802015480880164,-0.5802015480880164,0.000485187096379806,0.08195873576481169,0.001841167015501528,0.10184374096998446,0.047805105255274476,0.9999951895577452,0.004484681156814691,0.23367729785628436,0.1306869313068693,0.8607689291384492
gRNA_CDK12_targ_1746,CDK12,targeting,-0.8960502722536128,-0.32195241672065006,-1.2469070329427125,-0.8216365739723251,-0.8960502722536128,208.43113030677944,4691.0,0.10588725916518543,0.09043858530778878,-0.8773444002923234,-0.22700618527311642,0.09043858530778878,0.3410670424553246,0.4480447926170535,-0.7693089236193357,0.006600970484347453,0.3410670424553246,0.8203377811972499,-0.955454862418272,-1.1879909310927814,-0.44103600410460125,-0.955454862418272,0.22838444511191042,0.22838444511191042,0.22838444511191042,0.15953234871222652,0.9169174390873444,0.5516574282087627,0.9481393489878974,0.5242248686917652,0.9999951895577452,0.5248631978140939,1.0,0.4984501549845016,0.9499647679373413
gRNA_CDK12_targ_1747,CDK12,targeting,-1.8330608266777393,-0.8277018122408631,-0.7586223101036638,-1.139794983007422,-0.8277018122408631,473.95026437925577,9558.0,-1.7257349035796572,-2.3257175949104356,-3.4512020775598184,-2.5008848586833037,-2.3257175949104356,-1.486788743051384,-1.448809327021519,-0.31351291960871436,-1.083036996560539,-1.448809327021519,-2.396354549762197,-1.6364919076447162,-2.236816416289101,-2.089887624565338,-2.236816416289101,-0.8910147875405041,-0.8910147875405041,-0.8910147875405041,0.060906438052708255,0.6983030014754514,0.016557940236317348,0.3951179072078081,0.07838842786402168,0.9999951895577452,0.054646159263326194,0.7628188156030704,0.06939306069393063,0.8607689291384492
gRNA_CDK12_targ_1748,CDK12,targeting,0.09163294948042887,0.5820378908483408,-0.03162049856371621,0.21401678058835116,0.09163294948042887,286.0540645736615,6438.0,-2.7242246378684567,-1.1845152578091467,1.2553097618631968,-0.884476711271469,-1.1845152578091467,-0.13451573167842365,0.4818893990474214,-0.6354148944166116,-0.09601374234920461,-0.13451573167842365,-0.6062807466781222,-0.8753736364076771,1.2733493855454951,-0.06943499918010139,-0.6062807466781222,-0.4503117393328427,-0.4503117393328427,-0.4503117393328427,0.4372827114652236,0.999999633233141,0.21157599326648266,0.8892245143423483,0.5746954647876281,0.9999951895577452,0.3384057719303849,1.0,0.17948205179482052,0.8607689291384492
gRNA_CDK12_targ_1749,CDK12,targeting,0.20944527725832252,0.5420607151069844,-0.4361259067800695,0.10512669519507913,0.20944527725832252,187.81462114831731,4227.0,1.0717354154445078,-0.5118273062256821,-2.1256913431523823,-0.5219277446445189,-0.5118273062256821,-0.5761763556243406,0.6928041402021399,-0.7294211974407353,-0.204264470954312,-0.5761763556243406,-0.3635017466387052,0.8486575902331248,-0.3706449223012682,0.03817030709771713,-0.3635017466387052,0.5937590502790283,0.5937590502790283,0.5937590502790283,0.48225411036367427,0.999999633233141,0.3963199937426716,0.8979498745707878,0.45582568761515196,0.9999951895577452,0.34544806821611185,1.0,0.3790620937906209,0.923699497125058
gRNA_CDK12_targ_1750,CDK12,targeting,0.7475049213982473,0.7890091476502246,0.6144856356803116,0.7169999015762611,0.7475049213982473,117.1216276457674,3237.0,0.9909123951471142,-0.9025987160964861,0.7811545615018595,0.28982274685082915,0.7811545615018595,-0.5819118740969829,0.7996846646641997,-1.8583052739074222,-0.5468441611134017,-0.5819118740969829,0.6539858696459306,0.8655911545321869,-0.7079548451721466,0.2705407263353237,0.6539858696459306,0.10780495900099482,0.10780495900099482,0.10780495900099482,0.15966306418671009,0.999999633233141,0.1838434088904077,0.7096350783545167,0.17029392072109437,0.9999951895577452,0.22911235662660445,0.9693231930490572,0.43045695430456943,0.9499647679373413
gRNA_CDK12_targ_1751,CDK12,targeting,1.0601672332087309,0.6924976263568275,-1.44636205321759,0.10210093544932282,0.6924976263568275,259.31359032894267,7318.0,-2.3969639415797506,0.0802644101698652,-0.18638151722797464,-0.8343603495459533,-0.18638151722797464,-0.6598981072844495,-0.2625591446625465,-0.312419154299959,-0.41162546874898504,-0.312419154299959,0.5670442269140341,0.2667963930041495,0.2457022283527456,0.35984761609030974,0.2667963930041495,-0.7274504078608632,-0.7274504078608632,-0.7274504078608632,0.30304930641240546,0.999999633233141,0.3190664278524893,0.9999999674803077,0.41101881291791303,0.9999951895577452,0.24559588967209237,0.981480434077426,0.08689131086891316,0.8607689291384492
gRNA_CDK12_targ_1752,CDK12,targeting,1.5636332379348696,0.6072269959348829,0.20998252536755221,0.7936142530791016,0.6072269959348829,119.6528549850538,4735.0,1.6579956804363405,0.7028417861253456,1.1508425047969726,1.1705599904528863,1.1508425047969726,0.5498457770849186,0.9204447828217092,1.2597581914497171,0.9100162504521149,0.9204447828217092,2.0853148416245273,-1.119482710823782,0.5980621452412035,0.5212980920139829,0.5980621452412035,0.40869216456353763,0.40869216456353763,0.40869216456353763,0.11886511447172163,0.999999633233141,0.017136352199985626,0.263300744980421,0.08516370685834661,0.8972428217130156,0.10254792702980246,0.9275456388320764,0.41565843415658443,0.923699497125058
gRNA_CDK12_targ_1753,CDK12,targeting,-0.7195513037463669,-0.6999757281598045,-0.30054716729221753,-0.573358066399463,-0.6999757281598045,258.8615999077589,5826.0,-0.2151935443222106,-2.1080684249010306,0.1945968540085247,-0.7095550384049055,-0.2151935443222106,-0.5891480434919998,-0.5641848369850748,-2.011785610651164,-1.0550394970427461,-0.5891480434919998,1.089160669823945,0.9491856332425292,-0.3762748267092395,0.5540238254524116,0.9491856332425292,-0.40980145439783433,-0.40980145439783433,-0.40980145439783433,0.29174289326439123,0.999999633233141,0.38484666965597497,0.993230797931115,0.0689736241173799,0.9999951895577452,0.13850676659927663,0.9275456388320764,0.18368163183681635,0.8607689291384492
gRNA_CDK12_targ_1754,CDK12,targeting,-1.9345897514984407,-1.4232588884818176,-2.3698734979510805,-1.9092407126437798,-1.9345897514984407,307.28915969431347,10149.0,-4.239495178604466,-0.1794630560654207,-2.1227081119689184,-2.180555448879602,-2.1227081119689184,-0.6533103847658186,-0.5795613652335878,-0.887516669005939,-0.7067961396684485,-0.6533103847658186,-1.7473514547652655,-6.836814510663133,-1.198222255484348,-3.260796073637582,-1.7473514547652655,-0.6010936130564607,-0.6010936130564607,-0.6010936130564607,0.004008292572010035,0.23795571025054696,0.02297288868693346,0.4862261831651829,0.22445360774330486,0.9999951895577452,0.00041555626066734397,0.040782085896295554,0.12468753124687532,0.8607689291384492
gRNA_CDK12_targ_1755,CDK12,targeting,0.7217207955891136,-0.7686915599500853,0.6273539521636189,0.1934610626008824,0.6273539521636189,127.68591031351578,3132.0,1.4074789791417874,-1.4148341887729476,-1.470195936918249,-0.492517048849803,-1.4148341887729476,-0.4491058757564747,-1.8760614458664655,-1.4508335600818523,-1.258666960568264,-1.4508335600818523,0.6696572317430204,-1.2857979717990085,1.1862604233896086,0.19003989444454017,0.6696572317430204,0.06691907026747686,0.06691907026747686,0.06691907026747686,0.3742791082414125,0.999999633233141,0.3159299823401545,0.8301486822711578,0.040067322378147446,0.9999951895577452,0.2029593835234087,0.9501918289502663,0.40435956404359563,0.9499647679373413
gRNA_CDK12_targ_1756,CDK12,targeting,2.4247799724257417,1.1669153728107062,-0.7312539109218977,0.9534804781048501,1.1669153728107062,137.3057420031554,4471.0,0.48421639051112114,0.8203996544872917,0.2515565483426358,0.5187241977803495,0.48421639051112114,0.5747288918206511,0.511664995358726,0.9117470608323073,0.6660469826705615,0.5747288918206511,1.0808986888657592,1.1376068928401726,0.515346181927757,0.9112839212112296,1.0808986888657592,0.7892160801709613,0.7892160801709613,0.7892160801709613,0.029552551937241295,0.6930005986871001,0.1688776278723753,0.6993651194611763,0.17709285235079314,0.9805826968803175,0.07226480311001571,0.8970086099076171,0.2916708329167084,0.923699497125058
gRNA_CDK12_targ_1757,CDK12,targeting,0.6379045990746837,-0.5520123378881141,0.03876061949868107,0.041550960228416874,0.03876061949868107,244.77661412493023,9896.0,-0.14743480815823407,0.1762054143333689,0.38038448862285706,0.13638503159933063,0.1762054143333689,0.3432181048461136,0.2488816536890211,-0.7679071069070746,-0.058602449457313334,0.2488816536890211,-0.48505457136473523,0.28709322976565743,-0.23243145402749857,-0.1434642652088588,-0.23243145402749857,-0.36616941520056717,-0.36616941520056717,-0.36616941520056717,0.5255565983112076,0.999999633233141,0.3667720070831795,0.8687767001186466,0.570119186053951,0.9999951895577452,0.46227363360875373,1.0,0.19868013198680132,0.8607689291384492
gRNA_CDK12_targ_1758,CDK12,targeting,0.30469437784834336,-0.21984047185045158,-0.6586970616195099,-0.1912810518738727,-0.21984047185045158,271.658661640851,12147.0,0.9697563311461616,0.21814130393529046,-1.7347318518730492,-0.18227807226386572,0.21814130393529046,0.20549220228903875,0.5220988177203842,-0.5873048654791176,0.046762051510101786,0.20549220228903875,-1.6875787465480105,-1.0572798586493979,-1.5711359100458415,-1.4386648384144165,-1.5711359100458415,0.1722136784091933,0.1722136784091933,0.1722136784091933,0.531330925538023,0.999999633233141,0.32331288288426135,0.8352598707022225,0.5233818691438115,0.9999951895577452,0.17672438592832967,0.9895449805039123,0.4754524547545246,0.9499647679373413
gRNA_CDK12_targ_1759,CDK12,targeting,-0.18174191610426957,-0.6977634244669616,-0.3332832939551693,-0.40426287817546686,-0.3332832939551693,272.2809062258311,6076.0,-2.480789867970838,-0.1884418604938445,-2.2980519303849043,-1.6557612196165288,-2.2980519303849043,-0.9228982029923912,-0.003970270858419825,-0.8696364630448252,-0.5988349789652121,-0.8696364630448252,-1.359184789833054,-1.9597389300965358,-1.963674756606112,-1.760866158845234,-1.9597389300965358,0.14344610734732052,0.14344610734732052,0.14344610734732052,0.40033412809380725,0.999999633233141,0.08861817720890715,0.9481171135229891,0.27234099087180536,0.9999951895577452,0.09939225163163007,0.8768966216609732,0.45245475452454764,0.9499647679373413
gRNA_CDK12_targ_1760,CDK12,targeting,-0.6533754075404138,-0.45756283472040166,-1.012275660004373,-0.7077379674217296,-0.6533754075404138,175.3291921105418,3946.0,-0.1361719359995867,0.1679489795044343,-1.009291713343705,-0.32583822327961914,-0.1361719359995867,-0.006785929833401705,0.1777501813551981,0.3274650124950489,0.16614308800561509,0.1777501813551981,0.6831754649577708,0.6326496935925823,-0.5766864916862378,0.2463795556213718,0.6326496935925823,-0.10082891560666873,-0.10082891560666873,-0.10082891560666873,0.21670243376253906,0.9546673733538824,0.6016322494890691,0.9719375957655542,0.47420845431763314,0.9999951895577452,0.24439196915700492,0.9807046686532495,0.28637136286371356,0.8607689291384492
gRNA_CDK12_targ_1761,CDK12,targeting,0.5624439432822445,1.2282253330594668,-0.22963034317900619,0.520346311054235,0.5624439432822445,119.87789161536791,2698.0,0.22050654922506208,-0.16453960279592078,0.03529235020353364,0.030419765544224976,0.03529235020353364,-0.14117675160320417,0.4294101787691375,-0.4472910660820038,-0.05301921297202348,-0.14117675160320417,-0.17999605769845614,0.7244714731550435,-0.3173136285369624,0.07572059563987497,-0.17999605769845614,0.8330782256491625,0.8330782256491625,0.8330782256491625,0.20851165728674345,0.999999633233141,0.44295280542096893,0.9060690772802146,0.6079389850706061,0.9999951895577452,0.33559216398640257,1.0,0.2840715928407158,0.923699497125058
gRNA_CDK12_targ_1762,CDK12,targeting,-0.42148074673997077,-1.1446440482944897,-0.5068564425466833,-0.6909937458603812,-0.5068564425466833,117.34526010236718,2641.0,-0.9409030975243141,1.0798161541010634,-0.76101238292573,-0.20736644211632693,-0.76101238292573,-0.5001818920105231,0.31105817848378964,0.4142704457324769,0.07504891073524782,0.31105817848378964,-1.3749882550819748,1.7172935127446376,-1.5417506752796084,-0.39981513920564854,-1.3749882550819748,1.0002273249888474,1.0002273249888474,1.0002273249888474,0.22584349915995947,0.9668741492202634,0.397599271391546,0.8834527485365666,0.5019191077752325,0.9999951895577452,0.3410204749808432,1.0,0.20677932206779323,0.923699497125058
