gRNA_id,Gene,classification,CBE_BSJ-4-116_REP1,CBE_BSJ-4-116_REP2,CBE_BSJ-4-116_REP3,LFC_avg_CBE_BSJ-4-116,LFC_median_CBE_BSJ-4-116,base_RPM,base_RAW,CBE_CDK12-IN-2_REP1,CBE_CDK12-IN-2_REP2,CBE_CDK12-IN-2_REP3,LFC_avg_CBE_CDK12-IN-2,LFC_median_CBE_CDK12-IN-2,CBE_HQ461_REP1,CBE_HQ461_REP2,CBE_HQ461_REP3,LFC_avg_CBE_HQ461,LFC_median_CBE_HQ461,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_BSJ-4-116,FDR_CBE_BSJ-4-116,p_CBE_CDK12-IN-2,FDR_CBE_CDK12-IN-2,p_CBE_HQ461,FDR_CBE_HQ461,p_CBE_T0,FDR_CBE_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK12_targ_1740,CDK12,targeting,-0.507141206774417,-0.1873906164084491,0.2924819504122603,-0.13401662425686858,-0.1873906164084491,133.35536906625657,3857.0,-0.15255061504770223,-1.3787964963891064,0.3429439051480445,-0.3961344020962547,-0.15255061504770223,0.9064216839935914,-0.16025184503627604,-0.6760783952860547,0.023363814557086842,-0.16025184503627604,0.8247828367102998,-0.7967896868260042,0.8629243010568308,0.29697248364704215,0.8247828367102998,1.2908966266295905,1.2908966266295905,1.2908966266295905,0.44961213668426847,0.8969325510893597,0.3986914929551939,1.0,0.5223295233458569,0.8882552049812641,0.449756734390129,0.9744891825052864,0.29057094290570945,0.9644827707831467
gRNA_CDK12_targ_1741,CDK12,targeting,0.9071750206554037,0.7984649293582238,1.8824259514384687,1.1960219671506989,0.9071750206554037,104.55684129728851,3250.0,-0.5416705833097314,-0.09187457604329835,-0.2367772514960978,-0.29010747028304246,-0.2367772514960978,1.0655848961426027,0.8577744739534955,0.5450767432222705,0.8228120377727896,0.8577744739534955,0.9689382876476774,-0.35384665248024083,0.44479323646766783,0.35329495721170145,0.44479323646766783,1.584244711005443,1.584244711005443,1.584244711005443,0.1316670226350748,0.9999992404131874,0.5241824891237337,1.0,0.2713863677531824,0.9999914314308788,0.5444733735667318,0.9999997900825587,0.17448255174482552,0.8222469137403782
gRNA_CDK12_targ_1742,CDK12,targeting,0.6316762801383368,-0.27337226769001954,1.062607275921783,0.47363709612336674,0.6316762801383368,74.96706635481206,2320.0,1.051386082111952,-0.3484972914302565,1.2855293173566198,0.6628060360127718,1.051386082111952,0.30407992565001196,0.9290283464807794,-0.1940393793284556,0.3463562976007786,0.30407992565001196,1.004562680559214,0.5491146476583219,1.0689605516965184,0.874212626638018,1.004562680559214,1.3686065464936943,1.3686065464936943,1.3686065464936943,0.4516994918807955,0.984106699646323,0.16318612650571623,0.814089674278392,0.49749930951955534,0.9599935445548482,0.22474430920305613,0.9999997900825587,0.25127487251274866,0.9644827707831467
gRNA_CDK12_targ_1743,CDK12,targeting,-0.4205544104051444,1.465295370677334,2.4741371237929513,1.1729593613550469,1.465295370677334,105.245979631238,3044.0,1.1585908054232805,-0.11941008194055623,0.6302098526013462,0.5564635253613569,0.6302098526013462,1.3298240176622007,0.2888633278037126,-0.1042743155411376,0.5048043433082585,0.2888633278037126,1.3600734786976754,0.8289682710172824,0.6263187300807368,0.9384534932652314,0.8289682710172824,0.40033042458704254,0.40033042458704254,0.40033042458704254,0.07701140298293518,0.9999992404131874,0.23768052528482528,0.8916392834934941,0.4094938398622653,0.9778446997053396,0.1807732784034701,0.9312215018709973,0.39516048395160486,0.8488416428863219
gRNA_CDK12_targ_1744,CDK12,targeting,0.7348054774193892,1.0841862278043044,1.1583080655873879,0.9924332569370272,1.0841862278043044,141.99736782300354,3614.0,-0.5687033656158874,-0.4901647711916285,0.8973653136673918,-0.05383427438004137,-0.4901647711916285,0.5158287138514979,0.08498117818254457,0.08198364802788731,0.2275978466873099,0.08498117818254457,0.7742073375760079,0.10657013981212891,0.1812483130966384,0.3540085968282584,0.1812483130966384,1.1368793343599992,1.1368793343599992,1.1368793343599992,0.21002048400502518,0.9999992404131874,0.522073115116418,1.0,0.5854019582502386,0.950281609625739,0.6085953256690273,0.9999997900825587,0.31046895310468947,0.9712995319987098
gRNA_CDK12_targ_1745,CDK12,targeting,2.000039674242112,0.9587622586951352,1.8947592980656904,1.617853743667646,1.8947592980656904,83.45390405535682,2373.0,2.2569979204734065,0.20894987630913972,1.8583159706821821,1.4414212558215762,1.8583159706821821,0.9197312401707382,2.287444200358808,1.32282402203075,1.509999820853432,1.32282402203075,1.377666230836988,1.509666756246766,1.6672674462758579,1.518200144453204,1.509666756246766,1.4527308280420994,1.4527308280420994,1.4527308280420994,0.04233781290129463,0.9999992404131874,0.02158709933699402,0.37810356838931697,0.06336812010660024,0.9999914314308788,0.031459951191401554,0.42385022311207676,0.2070792920707929,0.8742948775373979
gRNA_CDK12_targ_1746,CDK12,targeting,-0.6781517977238375,-0.006419564252185301,-0.021869313284416124,-0.23548022508681296,-0.021869313284416124,156.4171337308736,3981.0,-0.1672886948225089,0.7249265801498808,-1.2067216987645866,-0.21636127114573825,-0.1672886948225089,0.35024347757012075,-1.408323392602281,0.8816398720265337,-0.058813347668542106,0.35024347757012075,0.44405019452761446,-0.22508136068765622,-0.035079831940214724,0.06129633396658118,-0.035079831940214724,0.6402677722598638,0.6402677722598638,0.6402677722598638,0.37801931976452247,0.8667567971713623,0.49159973699064785,1.0,0.44031001795326474,0.8603405263477267,0.4089542458518743,0.9500767493346598,0.48845115488451174,0.9027259764532282
gRNA_CDK12_targ_1747,CDK12,targeting,-0.09617405389104246,-0.24077599791553822,-0.776277483844045,-0.37107584521687526,-0.24077599791553822,214.7641429221188,5466.0,-0.9290519108577616,-1.6270240693075373,-0.38885122296980096,-0.9816424010450334,-0.9290519108577616,-0.9127789771241132,-0.9847693366735802,0.3179825996565045,-0.5265219047137296,-0.9127789771241132,-0.0775108010125594,-0.9642526021991031,-1.0796525374029549,-0.707138646871539,-0.9642526021991031,0.24730652997244412,0.24730652997244412,0.24730652997244412,0.31150133463198826,0.837852498858216,0.16865847042056906,1.0,0.2745544486255926,0.7624250176322788,0.04856280003075876,0.5068514824652467,0.34146585341465846,0.8488416428863219
gRNA_CDK12_targ_1748,CDK12,targeting,1.659330917304322,0.7586074110244684,-1.0831810759314402,0.44491908413245,0.7586074110244684,249.61739434635743,7759.0,0.06736782073312488,-1.8109618765171762,-1.7426926628670107,-1.1620955728836873,-1.7426926628670107,-0.292168311325783,-2.7104403221617046,0.4369123274663565,-0.8552321020070437,-0.292168311325783,-0.046203370955369694,0.007365660215376373,1.1192924002490632,0.36015156316968994,0.007365660215376373,-0.2544758053804334,-0.2544758053804334,-0.2544758053804334,0.32743695857308164,0.9404018427218408,0.11042245271316505,0.8789008039046182,0.11632922642802247,0.6725542449544102,0.5010631502269489,0.9999997900825587,0.1900809919008099,0.7103569755069311
gRNA_CDK12_targ_1749,CDK12,targeting,-0.763145627945249,0.3138502916373206,0.24025197455196176,-0.0696811205853222,0.24025197455196176,211.42548142083453,6115.0,-0.41796266266522664,-1.0042380980354326,0.24453833735840053,-0.39255414111408626,-0.41796266266522664,-0.02541359980670095,0.77652226657953,-1.2368218851844381,-0.16190440613720303,-0.02541359980670095,0.18624967297469552,-0.05795487853652664,0.13785465620076043,0.08871648354630977,0.13785465620076043,0.42377270211876106,0.42377270211876106,0.42377270211876106,0.45718979746599664,0.9010390041744102,0.4475060524026734,1.0,0.4158698132751039,0.8470519878758184,0.45734567100403767,0.975891012118971,0.3996600339966002,0.8488416428863219
