gRNA_id,Gene,classification,CBE_ABEMA_REP1,CBE_ABEMA_REP2,CBE_ABEMA_REP3,LFC_avg_CBE_ABEMA,LFC_median_CBE_ABEMA,base_RPM,base_RAW,CBE_ATIRMO_REP1,CBE_ATIRMO_REP2,CBE_ATIRMO_REP3,LFC_avg_CBE_ATIRMO,LFC_median_CBE_ATIRMO,CBE_INX_REP1,CBE_INX_REP2,CBE_INX_REP3,LFC_avg_CBE_INX,LFC_median_CBE_INX,CBE_PALBO_REP1,CBE_PALBO_REP2,CBE_PALBO_REP3,LFC_avg_CBE_PALBO,LFC_median_CBE_PALBO,CBE_RIBO_REP1,CBE_RIBO_REP2,CBE_RIBO_REP3,LFC_avg_CBE_RIBO,LFC_median_CBE_RIBO,CBE_T0_REP1,CBE_T0_REP2,CBE_T0_REP3,LFC_avg_CBE_T0,LFC_median_CBE_T0,CBE_TAGTO_REP1,CBE_TAGTO_REP2,CBE_TAGTO_REP3,LFC_avg_CBE_TAGTO,LFC_median_CBE_TAGTO,PLASMID_LIBRARY,LFC_avg_Plasmid,LFC_median_Plasmid,p_CBE_ABEMA,FDR_CBE_ABEMA,p_CBE_ATIRMO,FDR_CBE_ATIRMO,p_CBE_INX,FDR_CBE_INX,p_CBE_PALBO,FDR_CBE_PALBO,p_CBE_RIBO,FDR_CBE_RIBO,p_CBE_T0,FDR_CBE_T0,p_CBE_TAGTO,FDR_CBE_TAGTO,p_Plasmid,FDR_Plasmid
gRNA_CDK2_targ_6973,CDK2,targeting,-0.4505565157719624,0.02798935435111364,-0.2740349653716545,-0.23220070893083442,-0.2740349653716545,647.167702269469,4652.0,-0.39193349193198446,-0.262732025290819,-1.3402978281511324,-0.664987781791312,-0.39193349193198446,-0.035422916981526824,-0.620563940428879,0.0373328645070563,-0.2062179976344498,-0.035422916981526824,-0.7815885892981197,-0.9174056495273012,-0.03899409383164434,-0.5793294442190218,-0.7815885892981197,-0.36512793401404814,-0.22324291749603742,0.47246507041851316,-0.03863526036385748,-0.22324291749603742,0.19345044550340545,-0.0709956768022056,0.26633882817282184,0.1295978656246739,0.19345044550340545,0.10397261552500206,0.6377918634341915,0.8234619081417132,0.5217421290336356,0.6377918634341915,0.7989039594787253,0.7989039594787253,0.7989039594787253,0.263036861410217,0.5584020094856779,0.08128247887617376,0.26324970730237496,0.5361604839805438,0.9557684079061155,0.08547454522220113,0.26342713657866457,0.34026486127998784,0.5927772057035577,0.4487974305277168,0.9999999348265343,0.0946005790317872,0.6690767448615719,0.25517448255174485,0.8940186474463504
gRNA_CDK2_targ_6974,CDK2,targeting,-0.8877831793190565,-1.9684871688434271,-0.5608017351066384,-1.139024027756374,-0.8877831793190565,292.6095748465535,1770.0,-0.5543117347670975,-0.8626646070261619,-1.1464959459957162,-0.8544907625963253,-0.8626646070261619,-1.6662259412962988,-1.6242953819328123,-0.7354604083809496,-1.3419939105366867,-1.6242953819328123,-1.761390330138423,-3.778686690314893,0.1361825467509058,-1.8012981579008034,-1.761390330138423,-1.7971017442989392,-1.2121061714152375,1.153439186042783,-0.6185895765571311,-1.2121061714152375,0.013261532061425692,-1.4514521175105093,-1.0260935466772476,-0.8214280440421105,-1.0260935466772476,-0.9393169887740698,-1.5586536944076952,-1.915403837488119,-1.4711248402232948,-1.5586536944076952,0.3461256527648156,0.3461256527648156,0.3461256527648156,3.322670970456384e-05,0.000597719614794056,0.05365458452165236,0.2119292061654765,0.007056625234797553,0.5561292744566643,4.895721523746708e-05,0.001398305962130284,0.00010144016201612608,0.0022997735361190226,1.0037741497141663e-06,0.00018458291308632725,0.01752358522099383,0.6304681204509736,0.4914508549145087,0.8204817919767479
gRNA_CDK2_targ_6975,CDK2,targeting,-0.007801330666199707,0.20698898107582417,-0.7199461240467275,-0.17358615787903434,-0.007801330666199707,272.3116806921413,1786.0,0.9466902588020445,0.08447060012321626,-1.5481718921517744,-0.17233701107550456,0.08447060012321626,0.7321058858394135,1.8051892764366433,-0.23625027971799847,0.7670149608526861,0.7321058858394135,0.3315209748321825,-0.7472694710453965,0.6670326692765841,0.08376139102112336,0.3315209748321825,0.38139608507568357,-0.7584368176117464,0.024179472583410352,-0.1176204199842175,0.024179472583410352,0.7147643036160161,-0.17092442190297386,1.1028072657476242,0.5488823824868888,0.7147643036160161,-0.2506561895813513,0.18213893370783446,-2.2870134348119677,-0.7851768968951616,-0.2506561895813513,0.9925668646986852,0.9925668646986852,0.9925668646986852,0.25335764596348315,0.5481136000909341,0.2389982311796864,0.4736223598310994,0.00037006595807927796,0.02551913169255021,0.4358163599322633,0.6653838336604204,0.2158452114483324,0.4523805437340673,0.005549883613397186,0.11112042646496666,0.10679688208997885,0.9112085430015421,0.1276872312768722,0.9709329630593609
gRNA_CDK2_targ_6976,CDK2,targeting,-1.3092382508092333,-0.47086945732602775,-0.44620815831562133,-0.7421052888169607,-0.47086945732602775,203.09023442437413,1332.0,-0.43096331295274054,0.35343871300426166,-2.435059654732486,-0.8375280848936549,-0.43096331295274054,1.5403090760709373,0.43358655505845883,-2.9856735706854725,-0.3372593131853588,0.43358655505845883,-1.1163986952264546,-1.563179883721078,-0.9668965842035968,-1.2154917210503766,-1.1163986952264546,-1.8988956821823526,-1.8644031585876835,-0.6093973135445112,-1.4575653847715158,-1.8644031585876835,-0.3977913897520026,-1.0712866530604948,-0.0976262696196951,-0.5222347708107308,-0.3977913897520026,0.965330119065254,0.5413185370291825,-1.090572481153636,0.1386920583136002,0.5413185370291825,1.2209903884792972,1.2209903884792972,1.2209903884792972,0.00021442454615396134,0.002838980991078448,0.021632441165711523,0.11815739316585007,0.022463505494134443,0.30452404692040935,0.00274225698263608,0.024322626509339706,1.8332954808354063e-07,2.758276382529634e-05,0.0004665678611482686,0.013554308347281841,0.157743283843291,0.7650048814312068,0.07689231076892308,0.8656923423303925
gRNA_CDK2_targ_6977,CDK2,targeting,-1.091870111076969,-1.1333245653000559,-0.5120986263787656,-0.9124311009185968,-1.091870111076969,336.660756554625,2420.0,-0.05845041305305735,-1.6175333785597936,-1.5647925708097639,-1.080258787474205,-1.5647925708097639,0.8847793406089837,-0.38714027300894227,-2.287745114873872,-0.5967020157579435,-0.38714027300894227,-0.4790887837269822,-1.9205687703312582,-0.2649809052122963,-0.8882128197568456,-0.4790887837269822,-0.08852278469333037,-0.8692810280963932,0.36664867966881504,-0.19705171104030286,-0.08852278469333037,0.16266337607489573,-0.18930555198755716,0.2562050957431948,0.07652097327684444,0.16266337607489573,-0.010547914559891743,0.971205792033353,0.8326259436148932,0.5977612736961181,0.8326259436148932,1.0878020999463578,1.0878020999463578,1.0878020999463578,0.0003751178759771553,0.004531533465271475,0.024831619516294978,0.12964142050305422,0.08129032161287524,0.7320263574342484,0.008650621413717384,0.05964961242745584,0.13293620975850762,0.35111808560304886,0.5195732440856802,0.9999999348265343,0.06507648001095957,0.5638825885766393,0.10178982101789821,0.9709329630593609
gRNA_CDK2_targ_6978,CDK2,targeting,-1.7064755817204726,0.1731745892035901,0.17911767670510767,-0.451394438603925,0.1731745892035901,371.5697457148647,2437.0,-0.02540813984686465,-0.6544509700361079,-0.47053679091480743,-0.3834653002659267,-0.47053679091480743,0.7138110292199902,-0.23859134882083663,0.5666735946422519,0.3472977583471351,0.5666735946422519,-0.23848795517039337,-2.1372324895982753,0.5957316290603172,-0.5933296052361172,-0.23848795517039337,-0.43998749960775013,-0.15829850451381622,0.4119048295914415,-0.06212705817670827,-0.15829850451381622,0.0890406754434765,-0.21251309960891104,-0.16766348631688735,-0.0970453034941073,-0.16766348631688735,-0.5901569536535434,0.6856885882707346,0.6265050670659803,0.2406789005610572,0.6265050670659803,0.8229197381998784,0.8229197381998784,0.8229197381998784,0.0028727763029743124,0.02438176810985891,0.20182991955561932,0.4344020686839804,0.1028541826213463,0.5460531728072524,0.02794784610329402,0.13799462948768235,0.3015559776011859,0.5539124782796478,0.45650029643562207,0.9784550978705794,0.1844350077712117,0.7915178480437152,0.24237576242375758,0.9041338115647699
gRNA_CDK2_targ_6979,CDK2,targeting,0.15016878168916448,-0.6719993008250489,-0.016419939645001935,-0.17941681959362876,-0.016419939645001935,334.71313234315187,2279.0,0.3859207054164001,-0.2913863134496725,-1.6649931037278025,-0.5234862372536916,-0.2913863134496725,-0.4368150027769185,-0.752347482622007,0.01885649699827393,-0.39010199613355057,-0.4368150027769185,-0.1879072741763973,-1.65762103095077,0.005107955828771292,-0.613473449766132,-0.1879072741763973,0.269762319464182,-0.2574754098265708,-0.19767852637002173,-0.06179720557747018,-0.19767852637002173,0.2774810609583181,0.6072652049610691,-0.2631178567654807,0.20720946971796883,0.2774810609583181,0.30637874034144824,0.33149031879143265,0.5857531162904216,0.4078740584744341,0.33149031879143265,0.9357841893769826,0.9357841893769826,0.9357841893769826,0.2748792725886281,0.5715140654952003,0.10735650753895191,0.31284288521615916,0.3347131067437134,0.9931339060545935,0.04818633586475965,0.18952726912784948,0.3609522558337677,0.6142932695105661,0.20941693045619697,0.8664625497625149,0.16073325601385188,0.7677582359875903,0.14198580141985803,0.9709329630593609
gRNA_CDK2_targ_6980,CDK2,targeting,-0.4715669190392938,-1.2037756160174415,-0.5145610457920781,-0.7299678602829379,-0.5145610457920781,294.7247921488853,2019.0,-0.06974818017827272,-0.6598352829030097,-2.9516243916837297,-1.2270692849216707,-0.6598352829030097,0.024755153755607235,0.8351794955567742,0.13674226847697982,0.3322256392631204,0.13674226847697982,-0.7468366457103236,-1.258308158474283,-0.6869898880895828,-0.8973782307580631,-0.7468366457103236,-0.14457838976065585,-0.08765391683301836,-0.05643496341197916,-0.0962224233352178,-0.08765391683301836,0.02404335796894902,-0.5380399464785766,0.4200688919238209,-0.0313092321952689,0.02404335796894902,0.23700555747673524,0.10124052996374734,-0.5654225354102994,-0.07572548265660561,0.10124052996374734,1.2727836830143844,1.2727836830143844,1.2727836830143844,0.0037461085634371825,0.029664161112385345,0.0005169845701724476,0.006337847878780747,0.13283819906515246,0.5831491232170486,0.015644641009494878,0.09189058323945781,0.3423165528387759,0.5941085851071899,0.307078132072234,0.8574765192823678,0.4682252360570217,0.9983417778013239,0.06319368063193684,0.8656923423303925
gRNA_CDK2_targ_6981,CDK2,targeting,-1.3583584582770565,-0.5582482239223941,-1.5744461416674391,-1.1636842746222966,-1.3583584582770565,290.3351235245877,2083.0,0.22281066644683548,-0.6127954730844273,-2.9485321467442263,-1.1128389844606061,-0.6127954730844273,-0.24974908506605736,-0.8526214658571273,0.04227442842752714,-0.3533653741652192,-0.24974908506605736,-1.7712335911494927,-3.2732686317664528,-1.5376639679374866,-2.194055396951144,-1.7712335911494927,-1.4574900921004623,-1.17026678103812,-0.566327265884242,-1.064694713007608,-1.17026678103812,0.05855081547740023,-0.8597565492614371,0.06052852317949168,-0.2468924035348484,0.05855081547740023,1.1290740911723949,0.46850801677988424,0.25575203519093187,0.6177780477144037,0.46850801677988424,0.9961969683582484,0.9961969683582484,0.9961969683582484,2.3187308879179375e-07,1.1992186310950583e-05,0.0008077184547461843,0.009348070228006539,0.3437279732128829,0.9803975953919892,2.0496276696083972e-06,0.0001356853517280759,0.0004889929904516698,0.007788375714740102,0.05341384520357891,0.3147179243060916,0.06495530274223925,0.5638825885766393,0.1276872312768722,0.9709329630593609
gRNA_CDK2_targ_6982,CDK2,targeting,-0.19487915247009902,0.20040757220396577,-0.6188813449988365,-0.20445097508832324,-0.19487915247009902,315.6132021459868,2211.0,0.3976508332490664,-0.3571854896173812,-0.5609071751928493,-0.17348061052038802,-0.3571854896173812,-0.16554624900768244,0.6875688451994972,-0.5666646343993682,-0.014880679402517805,-0.16554624900768244,-0.7928342281669858,-1.509885143747939,0.7259042134074446,-0.5256050528358268,-0.7928342281669858,-0.6676784459344037,-0.08657773586718286,0.5531896488504172,-0.0670221776503898,-0.08657773586718286,0.5059353092054054,0.22681544509397872,0.814711764448106,0.5158208395824967,0.5059353092054054,-0.9277620091875187,0.08805978811402355,0.05320743486722417,-0.2621649287354237,0.05320743486722417,1.1090579933818925,1.1090579933818925,1.1090579933818925,0.24382316045560615,0.5362507623898607,0.32552828060588973,0.5581900354420082,0.33080031819453193,0.7461828734646947,0.03718634302872686,0.166706835138467,0.21337366027655977,0.4498514748505814,0.029030747233592846,0.3253076239109135,0.5710391066640492,0.9983417778013239,0.08989101089891012,0.9598040195980403
