gRNA_id,Gene,classification,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,LFC_avg_KB-0742_1500nM,LFC_median_KB-0742_1500nM,base_RPM,base_RAW,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,LFC_avg_KI-CDK9d-32N_1250nM,LFC_median_KI-CDK9d-32N_1250nM,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,LFC_avg_KI-CDK9d-32N_5000nM,LFC_median_KI-CDK9d-32N_5000nM,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,LFC_avg_KI-CDK9d-32_1000nM,LFC_median_KI-CDK9d-32_1000nM,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,LFC_avg_KI-CDK9d-32_100nM,LFC_median_KI-CDK9d-32_100nM,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,LFC_avg_SEL120_4000nM,LFC_median_SEL120_4000nM,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,LFC_avg_Senexin B_15000nM,LFC_median_Senexin B_15000nM,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,LFC_avg_Senexin B_2000nM,LFC_median_Senexin B_2000nM,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_KB-0742_1500nM,FDR_KB-0742_1500nM,p_KI-CDK9d-32N_1250nM,FDR_KI-CDK9d-32N_1250nM,p_KI-CDK9d-32N_5000nM,FDR_KI-CDK9d-32N_5000nM,p_KI-CDK9d-32_1000nM,FDR_KI-CDK9d-32_1000nM,p_KI-CDK9d-32_100nM,FDR_KI-CDK9d-32_100nM,p_SEL120_4000nM,FDR_SEL120_4000nM,p_Senexin B_15000nM,FDR_Senexin B_15000nM,p_Senexin B_2000nM,FDR_Senexin B_2000nM,p_T0,FDR_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.6262785196030599,-0.4377830533435417,0.24710230469489397,0.14519925698480407,0.24710230469489397,568.0200463344555,23594.0,0.2412903367372712,-0.029878142407369673,-0.07270858849662373,0.046234535277759274,-0.029878142407369673,-0.08969125156895488,-1.2906506542230034,1.1889572197992142,-0.06379489533091472,-0.08969125156895488,-0.22291050809710702,1.0437388095691298,-0.03716102589101126,0.2612224251936705,-0.03716102589101126,-0.2542349311271778,0.0435743139401219,-0.0033409415057878036,-0.07133385289761458,-0.0033409415057878036,0.5753964747921951,0.7095329331529774,0.35418340344577076,0.5463709371303144,0.5753964747921951,-0.03213412461483261,0.20355213482063458,0.14126039924912745,0.10422613648497647,0.14126039924912745,0.120151459718851,-0.04822739297441933,-0.023067540338978013,0.016285508801817884,-0.023067540338978013,-0.4003976271116046,-0.7561228134236232,1.9880915366563525,0.2771903653737082,-0.4003976271116046,-0.22766827503336365,-0.22766827503336365,-0.22766827503336365,0.452092326487737,0.9002393246736874,0.5955326663905798,1.0,0.22112182576485592,0.8050661932584919,0.1978422657802641,0.9647294348759434,0.47134931959491555,0.7662532611716248,0.04321262159915415,0.40126005770643136,0.5202948574399135,0.9995411424919999,0.6344051211633033,0.9999997942366115,0.2316532527903458,0.8137445324969684,0.023297670232976703,0.08357771318794534
gRNA_CDK7_targ_2,CDK7,targeting,-0.3200447551991512,-0.25097068147378476,-1.2696974804287215,-0.6135709723672192,-0.3200447551991512,439.3183870934325,16987.0,-0.63477283526263,-0.7499057793738346,-0.4449348442660665,-0.6098711529675104,-0.63477283526263,-1.8333943928500012,-0.9395272041938673,-1.2582726069842736,-1.343731401342714,-1.2582726069842736,-2.0046485306446464,-1.917731169087202,-1.3773478799408352,-1.7665758598908947,-1.917731169087202,-0.34950298102520494,-1.231528433834951,-2.1474580304042044,-1.24282981508812,-1.231528433834951,0.26579210185316265,-0.5958700644501257,-0.7617082378747644,-0.3639287334905758,-0.5958700644501257,-0.5204286256855611,-0.752866090507388,0.07063846016964387,-0.40088541867443506,-0.5204286256855611,0.11079511562209024,0.23354357062205797,-0.08460695426787669,0.0865772439920905,0.11079511562209024,-0.6049137309145732,1.068883838708853,-0.7502966324022563,-0.09544217486932549,-0.6049137309145732,0.0045202077353891194,0.0045202077353891194,0.0045202077353891194,0.04138545367970437,0.2603278537916888,0.0135490332750256,0.12167388434480225,0.09915419712612451,0.34351644435827405,0.06362628335678631,0.5767050633140397,0.002814870491858718,0.03284015573835171,0.11409183782360607,0.614675949736538,0.23514514658723445,0.7633130204318074,0.5218423917675545,0.9999997942366115,0.48880774889547995,0.7608011143014026,0.18198180181981802,0.40292807702198147
gRNA_CDK7_targ_3,CDK7,targeting,0.3553116503783561,-0.5709936894734035,0.759313018816203,0.18121032657371852,0.3553116503783561,248.29827418995416,10305.0,0.5592642410467971,0.08203226733566332,0.1545771849276906,0.26529123110338365,0.1545771849276906,-1.1759531225794755,-1.0506161528449292,-0.16556242736058094,-0.797377234261662,-1.0506161528449292,-1.1435649750445547,-1.0593339312148147,0.15033706923233453,-0.6841872790090116,-1.0593339312148147,0.43043659266722073,1.0536624141366662,0.07983007933434855,0.5213096953794117,0.43043659266722073,0.09731484433973613,0.8579987541444815,-0.15614625164322665,0.2663891156136637,0.09731484433973613,0.9833495565089369,0.3018209189409421,0.21520109048715982,0.5001238553123463,0.3018209189409421,0.44515710004954706,0.14047495719783434,0.5926648398962537,0.3927656323812117,0.44515710004954706,-0.4024054408794301,0.6208099167895096,-0.9373981678680345,-0.239664563985985,-0.4024054408794301,-0.10615021180769768,-0.10615021180769768,-0.10615021180769768,0.32494046548015837,0.8819775035389367,0.316434854244984,1.0,0.33828011520227125,0.6160805300214812,0.4242001718081817,0.8089466260652791,0.17742760884680112,0.9901806162655935,0.13841027633374972,0.7051242802263309,0.11407384839275368,0.9995411424919999,0.1704164252701083,0.9629136062066381,0.441372258533118,0.7174205231972225,0.0948905109489051,0.2585340268368373
gRNA_CDK7_targ_4,CDK7,targeting,0.08091518121001176,0.07939572961069329,-0.19222767293306448,-0.010638920704119814,0.07939572961069329,582.6531532324602,25085.0,0.10508684810976565,-0.18659560168239597,-0.1285056107735426,-0.07000478811539097,-0.1285056107735426,-0.5820661613428202,0.826764053543023,-0.35660938421367205,-0.037303830671156425,-0.35660938421367205,-1.553267459330269,-0.8976850260437593,0.10716282854877063,-0.7812632189417527,-0.8976850260437593,0.3665624542213978,0.5363834988094889,0.11695694225814178,0.33996763176300954,0.3665624542213978,0.21101777892359513,0.2643575693159656,-0.5783398024476377,-0.03432148473602566,0.21101777892359513,0.2547975117418023,-0.28422523239599645,0.41916942087436604,0.12991390007339063,0.2547975117418023,-0.21452227946933008,-0.39818396674278295,-0.10027175432508977,-0.2376593335124009,-0.21452227946933008,-1.0758470595991163,0.0659066604459943,1.541871107740747,0.17731023619587502,0.0659066604459943,-0.6603692563004098,-0.6603692563004098,-0.6603692563004098,0.4771924651718532,0.8166509789469708,0.41762432440797365,0.917953663091665,0.2881129061676721,0.903254549640967,0.3385177707513121,0.7718877431057994,0.3910111248279327,0.9677566290929809,0.45720849623603477,0.9817977487330923,0.4112984958869162,0.9995411424919999,0.3429327639761805,0.8277687406321598,0.3304183053526195,0.8249959042866756,9.999000099990012e-05,0.000892067655979501
gRNA_CDK7_targ_5,CDK7,targeting,0.6538360928291589,1.2034362804753715,-0.18364311937160663,0.5578764179776413,0.6538360928291589,210.1208899159933,8047.0,0.8268009786824221,0.3054473877237203,0.6296094958128481,0.5872859540729968,0.6296094958128481,1.3976505531169734,-0.5267790363140147,-0.0945290708417984,0.25878081532038677,-0.0945290708417984,0.22317758839091537,-0.5182019223250006,0.9926306108294236,0.23253542563177945,0.22317758839091537,-0.8984791705044456,0.7027475861098733,1.3139807655902163,0.37274972706521464,0.7027475861098733,-0.7545202125148023,0.9244341592130878,-0.14519484487118037,0.008239700609035052,-0.14519484487118037,-0.17793677335936092,0.18326555970762806,-0.131677495439102,-0.04211623636361162,-0.131677495439102,-0.33175506069027655,0.5126096581446009,0.45095657631935715,0.2106037245912272,0.45095657631935715,-0.43313430541282866,0.23042421476911062,-0.04171803279751358,-0.0814760411470772,-0.04171803279751358,-0.43203261652169245,-0.43203261652169245,-0.43203261652169245,0.07510622072382848,0.9986036268421163,0.04486742926679066,0.6322866543200081,0.15327527141619773,0.9406686964104397,0.18135618603431747,0.9657834352036463,0.1252641165729011,0.8224236627808372,0.19311901062442022,0.8315692413322826,0.5723778577301835,0.949326580560997,0.2738572411559951,0.9999997942366115,0.5677366693003845,0.8191972025317387,0.023297670232976703,0.08357771318794534
gRNA_CDK7_targ_6,CDK7,targeting,0.3130905600756683,0.14223001671998897,-0.3958311749150475,0.019829800626869936,0.14223001671998897,700.6470945687528,26461.0,-0.4202360292084167,-0.18611662738485296,-0.10874566931983759,-0.23836610863770238,-0.18611662738485296,-0.39086469068398216,-1.2659133331901453,-0.6753835465919726,-0.7773871901553667,-0.6753835465919726,-0.4615059171009185,-0.7331689781915308,0.29018907574818464,-0.30149527318142155,-0.4615059171009185,0.007017046646912525,0.11781366779268167,0.5917003424873188,0.23884368564230432,0.11781366779268167,-0.2712167242329185,0.14514336274541945,-0.326006944725165,-0.15069343540422134,-0.2712167242329185,-0.44451192563886516,-0.11779843294199913,0.13049310306960843,-0.14393908517041862,-0.11779843294199913,-0.6571801030416254,0.15444934504997934,-0.3345519733530789,-0.27909424378157505,-0.3345519733530789,0.29835510981256,-0.2537002485343427,0.1600382593265663,0.06823104020159454,0.1600382593265663,-1.2066789110664613,-1.2066789110664613,-1.2066789110664613,0.5234927936215239,0.8533767566390723,0.2034031098460876,0.6563717374465947,0.3578083520861373,0.630081324011622,0.5499493388699657,0.8997971520909227,0.4655951132657391,0.9356688956415963,0.4338824171379563,0.9609242354962524,0.4595237765158513,0.8916132977173236,0.28047602117388415,0.7700282764429668,0.6247329540260089,0.8873827316809854,9.999000099990012e-05,0.000892067655979501
gRNA_CDK7_targ_7,CDK7,targeting,-0.034083890200582466,0.6620965369062429,0.6048429389108991,0.4109518618721865,0.6048429389108991,276.3566759880332,11898.0,0.994883782584306,0.9123867714103288,1.0890051314007447,0.9987585617984598,0.994883782584306,0.7471750601904793,0.357800239646903,1.0277274618442458,0.7109009205605427,0.7471750601904793,-0.34903681508549783,0.4490050756328382,1.0214647340399974,0.3738109981957793,0.4490050756328382,0.35625140670958877,1.1919157289487416,1.1501184213567353,0.8994285190050219,1.1501184213567353,0.48371587522115495,0.9051195648925442,0.6324139192199744,0.6737497864445579,0.6324139192199744,0.18111013656231453,0.12945889932010426,0.3658509304793624,0.2254733221205937,0.18111013656231453,0.15569102177252636,0.294192154390931,0.8658264162196717,0.43856986412770965,0.294192154390931,0.6605388102670221,-0.22092791451357838,0.42304436123809325,0.2875517523305123,0.42304436123809325,0.6213364239482532,0.6213364239482532,0.6213364239482532,0.22512190632246942,0.9999994814676322,0.0014471898045639502,0.09187972480138568,0.0412740099974227,0.9798091068953388,0.13860833791205468,0.9776655382195111,0.03797276227731138,0.9999999893365348,0.014081951611937508,0.24331473354803415,0.3697737997976309,0.9995411424919999,0.12018924944969694,0.8791925619177257,0.4388550997822601,0.9631693570404912,0.3424657534246574,0.7740618019934916
gRNA_CDK7_targ_8,CDK7,targeting,0.7513914671807722,0.762788798008136,0.9885006425414773,0.834226969243462,0.762788798008136,282.85986110832124,11118.0,0.7310055056310187,0.5787500134786379,0.523962961332401,0.6112394934806858,0.5787500134786379,0.11606687941798116,0.5596467113075844,0.18346817255132122,0.2863939210922956,0.18346817255132122,-1.6456549646030845,0.014668511448435525,-0.04565076436347564,-0.5588790725060415,-0.04565076436347564,0.4602217300205036,0.6884907423523814,-0.589496829893373,0.18640521415983732,0.4602217300205036,0.3461390703075978,0.8230440639915805,0.5754354833152072,0.5815395392047952,0.5754354833152072,0.45472755973450374,0.059307299902970206,0.8344189288720946,0.44948459616985614,0.45472755973450374,0.6374310832152422,0.5656767562052301,0.3871348228665495,0.5300808874290073,0.5656767562052301,0.14618449536275557,-0.6971846576533984,0.1389333202676517,-0.13735561400766372,0.1389333202676517,0.8977428814606015,0.8977428814606015,0.8977428814606015,0.026021348540591835,0.7638524894173733,0.0453949392845134,0.6322866543200081,0.17564012532311402,0.9835906365934974,0.4329700547670595,0.8141657310570681,0.41409383180091125,0.8426696215276378,0.026688834234025176,0.32823292659206754,0.1435329214072873,0.9995411424919999,0.0873524676184386,0.8014462561416638,0.5206966587127069,0.7874374878531205,0.2344765523447655,0.8333939333339394
gRNA_CDK7_targ_9,CDK7,targeting,0.42208798180347895,-0.20812911436824938,-1.7889141288166168,-0.5249850871271291,-0.20812911436824938,346.29363609897354,12832.0,0.11830710417574922,-0.03867396656569148,-0.28816259892995466,-0.06950982043996563,-0.03867396656569148,-0.09656710422990035,-1.997407202103157,-2.217703595818616,-1.4372259673838912,-1.997407202103157,0.7214176165195202,-0.9728086660125164,0.26432779884512536,0.004312249784043061,0.26432779884512536,0.34972674200138265,0.8773830649182253,0.4190072641526827,0.5487056903574302,0.4190072641526827,-0.15133606052472087,-0.336181321985489,-0.2871873884852543,-0.2582349236651547,-0.2871873884852543,-0.1131153664125355,0.31104566323728916,-0.72407221110111,-0.1753806380921188,-0.1131153664125355,-0.4933428700250488,-0.23297766885018784,0.4691524530632985,-0.08572269527064603,-0.23297766885018784,-0.21041600435629274,-1.0125494779139155,0.577186228551033,-0.2152597512397251,-0.21041600435629274,-0.17501478741989512,-0.17501478741989512,-0.17501478741989512,0.07380283723078142,0.3319303882043382,0.4239974601808889,0.9239031431120982,0.054010958437517055,0.24958626421822164,0.2687856234492335,0.9421235812555883,0.20182173253878255,0.9984078552701849,0.3220272878750836,0.8578881408599098,0.4030890527556375,0.8565027729212217,0.4508991660224426,0.9145280261822202,0.46458231051096577,0.7361054600667073,0.044595540445955414,0.141729715270615
gRNA_CDK7_targ_10,CDK7,targeting,0.1333900559532223,-0.08359733675550007,0.585556421049247,0.21178304674898973,0.1333900559532223,156.10970073252403,6721.0,0.7109472057642986,0.6385533717446615,1.0253358952388143,0.7916121575825915,0.7109472057642986,0.4661957641363707,-0.7575891587054326,0.6540924698281348,0.1208996917530243,0.4661957641363707,-0.03968880912076765,0.3364331861918303,-0.3193230474817569,-0.007526223470231408,-0.03968880912076765,-0.009423159296880892,-0.05283089856606117,-1.5172641078811273,-0.5265060552480231,-0.05283089856606117,0.24747022819384495,0.19772997656018593,0.7636280319186263,0.40294274555755233,0.24747022819384495,-0.5646661776367152,0.4505643289926511,0.40019204893044175,0.0953634000954592,0.40019204893044175,-0.06271174436528366,0.2383267540039047,0.563478756117564,0.24636458858539503,0.2383267540039047,0.1430413159450909,-0.9432969311059056,-0.16200019500701948,-0.3207519367226114,-0.16200019500701948,0.6490765033485135,0.6490765033485135,0.6490765033485135,0.46001181115491174,0.9576297696644339,0.009487301986636542,0.27849821960771787,0.21064727261931482,0.9249063310164736,0.405823540518238,0.9488369011710707,0.06561140530494308,0.24525118878061675,0.09064589617946582,0.5808997572064359,0.3619085214528187,0.9950853208564021,0.3088733598021874,0.9999997942366115,0.41187456219532587,0.6885594334312551,0.3340665933406658,0.7740618019934916
