gRNA_id,Gene,classification,KB-0742_1500nM_REP1,KB-0742_1500nM_REP2,KB-0742_1500nM_REP3,LFC_avg_KB-0742_1500nM,LFC_median_KB-0742_1500nM,base_RPM,base_RAW,KI-CDK9d-32N_1250nM_REP1,KI-CDK9d-32N_1250nM_REP2,KI-CDK9d-32N_1250nM_REP3,LFC_avg_KI-CDK9d-32N_1250nM,LFC_median_KI-CDK9d-32N_1250nM,KI-CDK9d-32N_5000nM_REP1,KI-CDK9d-32N_5000nM_REP2,KI-CDK9d-32N_5000nM_REP3,LFC_avg_KI-CDK9d-32N_5000nM,LFC_median_KI-CDK9d-32N_5000nM,KI-CDK9d-32_1000nM_REP1,KI-CDK9d-32_1000nM_REP2,KI-CDK9d-32_1000nM_REP3,LFC_avg_KI-CDK9d-32_1000nM,LFC_median_KI-CDK9d-32_1000nM,KI-CDK9d-32_100nM_REP1,KI-CDK9d-32_100nM_REP2,KI-CDK9d-32_100nM_REP3,LFC_avg_KI-CDK9d-32_100nM,LFC_median_KI-CDK9d-32_100nM,SEL120_4000nM_REP1,SEL120_4000nM_REP2,SEL120_4000nM_REP3,LFC_avg_SEL120_4000nM,LFC_median_SEL120_4000nM,Senexin B_15000nM_REP1,Senexin B_15000nM_REP2,Senexin B_15000nM_REP3,LFC_avg_Senexin B_15000nM,LFC_median_Senexin B_15000nM,Senexin B_2000nM_REP1,Senexin B_2000nM_REP2,Senexin B_2000nM_REP3,LFC_avg_Senexin B_2000nM,LFC_median_Senexin B_2000nM,T0_REP1,T0_REP2,T0_REP3,LFC_avg_T0,LFC_median_T0,Plasmid,LFC_avg_Plasmid,LFC_median_Plasmid,p_KB-0742_1500nM,FDR_KB-0742_1500nM,p_KI-CDK9d-32N_1250nM,FDR_KI-CDK9d-32N_1250nM,p_KI-CDK9d-32N_5000nM,FDR_KI-CDK9d-32N_5000nM,p_KI-CDK9d-32_1000nM,FDR_KI-CDK9d-32_1000nM,p_KI-CDK9d-32_100nM,FDR_KI-CDK9d-32_100nM,p_SEL120_4000nM,FDR_SEL120_4000nM,p_Senexin B_15000nM,FDR_Senexin B_15000nM,p_Senexin B_2000nM,FDR_Senexin B_2000nM,p_T0,FDR_T0,p_Plasmid,FDR_Plasmid
gRNA_CDK7_targ_1,CDK7,targeting,0.09426621703036316,-0.19655409618572725,1.1477461480061124,0.34848608961691613,0.09426621703036316,164.72830461023744,8003.0,0.5784633072889744,0.5325696589967283,0.6283149433062786,0.5797826365306604,0.5784633072889744,-0.31597571282746273,0.011496685711618387,-0.0686951194950807,-0.1243913822036417,-0.0686951194950807,0.7794353855631051,0.48917783600232867,0.4160739939607527,0.5615624051753955,0.48917783600232867,0.37957690836051494,-0.13899105977625914,0.0919961031360914,0.11086065057344907,0.0919961031360914,0.15822780751052598,-0.1320125583693787,-0.43906260466266755,-0.1376157851738401,-0.1320125583693787,0.4200671144013556,0.23616939183131047,-0.2893134394051325,0.12230768894251119,0.23616939183131047,0.9988004075286917,0.3580510412897693,0.48251815118453284,0.613123200000998,0.48251815118453284,2.090488002450261,1.573841541041848,1.4991957818442334,1.7211751084454476,1.573841541041848,1.5519911835430795,1.5519911835430795,1.5519911835430795,0.2880482055984101,0.9076897477643783,0.0781511789705277,0.4714591178850495,0.43351016732898184,0.6558664953633447,0.14673531798613698,0.7885579096499093,0.5399843281823182,0.9999999973917246,0.6001990869026239,0.9414981533652619,0.27193879810730015,0.8612675451993324,0.0527153748698527,0.4878405877786368,1.3247064901646414e-07,1.4465794872597884e-05,0.0071992800719927995,0.1403859614038596
gRNA_CDK7_targ_2,CDK7,targeting,-0.6225664166711635,2.0580357140273438,0.02700902074362749,0.4874927726999359,0.02700902074362749,350.26654471219274,10299.0,0.36447974852065523,0.3360898932659795,-0.015108820757230313,0.2284869403431348,0.3360898932659795,-1.3972614537377948,-0.21258692802196044,-0.6348437586794404,-0.748230713479732,-0.6348437586794404,-0.5560784173723523,-0.7433503973689486,-0.1855714935593698,-0.4950001027668902,-0.5560784173723523,0.0631434582371563,-0.2164975087607211,-0.09737074876371797,-0.08357493309576093,-0.09737074876371797,-1.0530916223891122,0.07541416530700079,-0.021404896329317472,-0.333027451137143,-0.021404896329317472,0.8272785419159255,-0.1494003979743102,-1.364406467248238,-0.22884277443554094,-0.1494003979743102,-0.00732005715424712,-0.4759119893152304,-0.6542887979133863,-0.37917361479428796,-0.4759119893152304,0.11638141051302149,-0.4225708892899555,0.04365561672939396,-0.08751128734918003,0.04365561672939396,0.330501120130969,0.330501120130969,0.330501120130969,0.09819228407372092,0.7884063702354938,0.3943119586327364,0.9999999815069656,0.06629218153532226,0.2222449252797476,0.15988494852478885,0.5111076223333414,0.28400179493887445,0.7792210052091731,0.31975399302852753,0.936889737003198,0.34884388583315035,0.9122067129545024,0.23917186380913225,0.7688242479793513,0.4833883145746912,0.9999999990269781,0.43725627437256276,0.9705507005409184
gRNA_CDK7_targ_3,CDK7,targeting,-0.15328991361941383,-2.7584940187548432,0.03475780291628503,-0.9590087098193241,-0.15328991361941383,323.19477370618193,10671.0,-0.9213417935074943,-1.0057495843716235,-0.5224614639854899,-0.8165176139548693,-0.9213417935074943,-0.926621041473067,-1.1912586451643108,-0.06432514670016747,-0.7274016111125151,-0.926621041473067,-0.7731953207255763,-0.6706018595889197,-0.6834126278228979,-0.709069936045798,-0.6834126278228979,-0.4652608119533519,-0.4226545641771685,-0.3410821559669317,-0.409665844032484,-0.4226545641771685,0.1049167737084293,-0.2659972759279667,-0.4155867896664534,-0.1922224306286636,-0.2659972759279667,-1.2084002159811436,0.047452192633910664,1.2893087015242624,0.042786892725676484,0.047452192633910664,-0.02822991127304582,2.026360733889487,-1.952310383682199,0.01527347964474742,-0.02822991127304582,-0.4701860477437162,-0.3509620942581321,-0.527146399527364,-0.44943151384307073,-0.4701860477437162,-0.48513814982672987,-0.48513814982672987,-0.48513814982672987,0.001282375172422794,0.06605441925875902,0.00026408777687155345,0.008481878010109894,0.06095686650208308,0.2117999023725608,0.08233830096905878,0.3607436034559943,0.04399662100824887,0.23027117746766396,0.5338761130555401,0.9896201422042434,0.19661665159720323,0.8011394908363655,0.05810115408262313,0.4956726581667418,0.0777521127881325,0.7527066238000062,0.05619438056194381,0.40584830405848304
gRNA_CDK7_targ_4,CDK7,targeting,-0.47039520833335124,-2.3742486408434647,0.28884152247813544,-0.8519341088995601,-0.47039520833335124,386.24429891593456,14512.0,0.7235898934499149,0.8472316976224166,0.1632386134395801,0.5780200681706372,0.7235898934499149,1.1810968601115321,1.1579262033946882,-1.4509143387071877,0.29603624159967756,1.1579262033946882,-0.14421660356773852,0.2399852680414215,0.469581352531675,0.18845000566845269,0.2399852680414215,-0.05882882935050419,0.2738460483748928,-0.07521243533216318,0.046601594564075144,-0.05882882935050419,0.4146953176005142,-0.2630281283124555,-0.33760706066482077,-0.06197995712558735,-0.2630281283124555,-0.44742537947288324,0.5165855538460068,-0.3604256680648079,-0.09708849789722812,-0.3604256680648079,0.229705596221075,-0.743729904001965,-0.21974212087038653,-0.24458880955042553,-0.21974212087038653,-0.10162755288976658,-0.19014293078111305,-0.10446234792523022,-0.13207761053203662,-0.10446234792523022,-0.06850198051400781,-0.06850198051400781,-0.06850198051400781,0.06531129431460883,0.4946258503407624,0.02964387152173406,0.23769546776395703,0.11925537819189773,0.5789814512725949,0.46859736953024156,1.0,0.45884557417678906,0.9893604906983116,0.46267990957023664,0.8592626892018681,0.4518395358885733,0.9319383988444367,0.32360475147693646,0.8405718092597874,0.4671071519374578,0.9999999990269781,0.29217078292170784,0.7757491296324914
gRNA_CDK7_targ_5,CDK7,targeting,-0.6370558005512527,-1.7183823646747411,-0.24272193448138346,-0.8660533665691257,-0.6370558005512527,293.87835837052694,8641.0,-0.7099900008127341,-0.7252154543423237,-0.3352538586797524,-0.5901531046116034,-0.7099900008127341,-0.6804346376476644,-1.4758094261026409,-0.6948126013609093,-0.9503522217037382,-0.6948126013609093,-0.49005612515948027,-0.7319205850679821,-0.6667933047049783,-0.6295900049774802,-0.6667933047049783,-0.44158199596776376,-0.4161714986265487,-0.819292496342058,-0.5590153303121235,-0.44158199596776376,-0.11558892430015753,-0.35285445187287107,-0.3575945439765272,-0.2753459733831853,-0.35285445187287107,-1.806529741094832,0.14808493856825627,-1.3455745960694232,-1.0013397995319997,-1.3455745960694232,-0.29183012930975544,-1.0218835589933337,-1.095444998940283,-0.8030528957477907,-1.0218835589933337,-0.17811043972371116,-0.6089200015587951,-0.15408346355596897,-0.31370463494615836,-0.17811043972371116,-0.9140832239058082,-0.9140832239058082,-0.9140832239058082,0.06557663319413423,0.4946258503407624,0.009946337543800582,0.0915176550650738,0.034307765052195134,0.15404637926396827,0.10928645414835367,0.42188254505764267,0.0106232601979575,0.0803365660399556,0.4602709289527892,1.0,0.03294882154977366,0.390627546516764,0.043606776718801754,0.4940987400570041,0.15036725278163277,0.9562370445088257,0.0063993600639935975,0.15460400862568605
gRNA_CDK7_targ_6,CDK7,targeting,-0.11487383861472364,1.4935311865259275,-0.24929737551038852,0.37645332413360516,-0.11487383861472364,762.3238147625584,37036.0,-0.11476977663856153,-0.11717819364050092,0.13634129069680673,-0.031868893194085236,-0.11476977663856153,0.035395348779203,0.18087180447790518,-0.0898242929093918,0.04214762011590547,0.035395348779203,-0.1952273264050311,-0.5030780534617824,-0.2553847137875469,-0.3178966978847868,-0.2553847137875469,-0.5324613448066999,-0.640149988916284,0.0009967546783695104,-0.39053819301487147,-0.5324613448066999,-0.029719843607105605,-0.08675745324012478,-0.11082766161541772,-0.07576831948754936,-0.08675745324012478,0.027712843931415897,-0.13103154657008678,-0.5780980888289416,-0.2271389304892042,-0.13103154657008678,-0.3138088311549846,0.685574745716505,0.574942119000757,0.31556934452075913,0.574942119000757,-0.2748853319823112,-0.30784705447022825,-0.3590895767806111,-0.3139406544110502,-0.30784705447022825,-1.3282285286497018,-1.3282285286497018,-1.3282285286497018,0.22292757172152775,0.841896922719088,0.38428220786492456,0.953944981449048,0.5723448828407178,0.7670601522607559,0.274863442941196,0.6729840351833768,0.0363685564498489,0.19778119344240536,0.6099992665998921,0.9432062330639996,0.601765736132992,0.9751731794627122,0.15186350605175966,0.703973988910112,0.17880333603331341,0.9999999990269781,0.0063993600639935975,0.15460400862568605
gRNA_CDK7_targ_7,CDK7,targeting,0.03260426328839204,0.4934180116870499,-0.09890202754878433,0.14237341580888588,0.03260426328839204,491.3390398540682,19943.0,-0.04409548093393412,-0.05620241993204494,0.04485987228316773,-0.018479342860937113,-0.04409548093393412,0.7859407403614973,-0.22541305741600018,0.16540161992271654,0.24197643428940455,0.16540161992271654,0.34833363347539453,0.32476313655245637,0.17000556841186426,0.28103411281323837,0.32476313655245637,-0.16911328518733149,-0.20587176830500278,0.08482978393454997,-0.09671842318592809,-0.16911328518733149,0.03390184551346039,-0.2864885863057847,-0.21809131723606073,-0.15689268600946168,-0.21809131723606073,-0.7649063445989448,-0.05749579978307228,-0.06040946554888321,-0.2942705366436334,-0.06040946554888321,-0.13039345611011433,-0.33381687752610206,-0.6113050916717031,-0.35850514176930653,-0.33381687752610206,0.3664659532875503,0.0008732635891802063,-0.24427218899864325,0.04102234262602908,0.0008732635891802063,-0.20657326654754707,-0.20657326654754707,-0.20657326654754707,0.5028311485774379,0.8960815384235905,0.4660583750952568,0.9999999815069656,0.45779731251164957,0.8452257996460218,0.38635469699438263,1.0,0.27687995670238397,0.7720963041854016,0.5934339159793263,0.9886592168904935,0.540239221113294,0.9876681994734369,0.2734294074452936,0.8011749297275255,0.43485951840125925,0.8206997800869277,0.20347965203479657,0.7204921531193186
gRNA_CDK7_targ_8,CDK7,targeting,-0.198229224831912,-0.8552429528985621,-0.5892473320734075,-0.5475731699346272,-0.5892473320734075,552.9679226828473,29797.0,-0.10923719870696585,-0.08934061088802694,-0.3455058496144285,-0.18136121973647376,-0.10923719870696585,-1.7295927739796515,0.09837733731006522,-0.03175246613729867,-0.5543226342689617,-0.03175246613729867,-0.764890733775298,-0.2018873032985321,-0.1573011358863707,-0.3746930576534003,-0.2018873032985321,-0.5299010914693778,-0.6444037956350747,-0.8301849592612236,-0.6681632821218919,-0.6444037956350747,-0.07640961166356162,-0.17094553400903895,-0.11551857777709071,-0.12095790781656375,-0.11551857777709071,-1.3263019168120167,-0.43210822732695475,-1.1894556517100745,-0.982621931949682,-1.1894556517100745,-0.49716998854998273,-1.0271428529304922,-0.2925178487930363,-0.6056102300911704,-0.49716998854998273,-0.31334539900030445,-0.34712084391101683,-0.14208101225214068,-0.267515751721154,-0.31334539900030445,-0.06688069770727545,-0.06688069770727545,-0.06688069770727545,0.1324867856169391,0.5494562089194436,0.175999184041785,0.6159971441462475,0.12979481545937724,0.32597961932299896,0.22132417669923585,0.6030089844200738,0.0041174037422550495,0.03814723566057262,0.6536040749197622,0.9752102357039099,0.0716867118863485,0.5303651041998141,0.10664679792698371,0.6454805718892491,0.23446762124969286,0.9999999990269781,0.29217078292170784,0.7757491296324914
gRNA_CDK7_targ_9,CDK7,targeting,0.6548609546617562,-0.9208939195084072,0.05861787109674889,-0.0691383645833007,0.05861787109674889,350.74268138817786,11520.0,0.4587405864045772,0.3979453522790253,0.1314159351896185,0.32936729129107367,0.3979453522790253,-0.6085881749025667,-0.35736923883950367,0.9869188923253542,0.0069871595277613,-0.35736923883950367,-0.16737469476207434,0.7180778588729223,0.691049360054072,0.4139175080549733,0.691049360054072,0.07675202076751238,0.54136728229293,-0.4781499724829931,0.04665644352581642,0.07675202076751238,0.41744385409992507,-0.7890557465853366,-0.7854664973933618,-0.3856927966262578,-0.7854664973933618,-0.7648885854613022,-0.08117458558137983,-0.4178489194070437,-0.42130403014990864,-0.4178489194070437,-0.019824564339116713,0.45575413789238667,0.3612777890243553,0.26573578752587507,0.3612777890243553,-0.5894932025044646,0.23744452144541223,-0.028124635566860744,-0.12672443887530435,-0.028124635566860744,-0.19337921880654915,-0.19337921880654915,-0.19337921880654915,0.42715373284581637,0.7312835494070439,0.28286255393668175,0.9225982942020802,0.38681170584597274,0.6093456185571297,0.2191717322999672,0.9498571039470078,0.3230316398140188,0.8366948545467469,0.24271365547537666,0.895416593848349,0.4340710416963255,0.97879853238068,0.26674501081892743,0.8457768635722089,0.33471377637856825,0.9605409170095076,0.20347965203479657,0.7204921531193186
gRNA_CDK7_targ_10,CDK7,targeting,0.27268613338170644,2.057328928187757,0.17366208420670873,0.8345590485920574,0.27268613338170644,172.56553528203378,5835.0,0.26159745524598954,0.29911479659876533,0.1980181830603592,0.2529101449683714,0.26159745524598954,-0.06861769108975331,0.2891510547302861,0.31286541341789076,0.17779959235280784,0.2891510547302861,-0.281300428212539,1.3857263672015274,1.0179403402282112,0.7074554264057332,1.0179403402282112,0.3700170015453798,0.042378661962485895,0.024138022401296654,0.14551122863638746,0.042378661962485895,-0.9101714958995266,-0.09471390464878421,-0.20608729459056796,-0.40365756504629297,-0.20608729459056796,-0.16224971918622386,0.1858242503562294,0.030077370719711487,0.017883967296572347,0.030077370719711487,0.4391880271019712,0.6794342849656487,0.3014405105156505,0.4733542741944235,0.4391880271019712,0.43086491801347765,0.06983501817870964,0.07196578486637334,0.19088857368618686,0.07196578486637334,0.5053682640322901,0.5053682640322901,0.5053682640322901,0.04421938201490764,0.9939782982188362,0.41758453288327757,0.9999999815069656,0.6025825101693174,0.8423957771002016,0.04874711341211033,0.4637126841689232,0.5950184804258982,0.9999999973917246,0.290964638499349,0.9287472017924889,0.3745476120209272,0.9199672811922276,0.10975678745341856,0.6274257285152514,0.24677061726730615,0.5904327652407938,0.3401659834016598,0.9786093633982611
gRNA_CDK7_targ_11,CDK7,targeting,-0.6524797939094547,-0.28348253344502133,-0.5617446738781239,-0.4992356670775333,-0.5617446738781239,591.0294312855626,28714.0,0.060266404055608395,0.06491299450470082,0.024311049051485407,0.049830149203931536,0.060266404055608395,0.540482557234136,-0.7829288204861256,-0.6854438019537643,-0.309296688401918,-0.6854438019537643,-0.37889108870820765,-0.8160290207821835,-0.2986182966194503,-0.4978461353699471,-0.37889108870820765,-0.37509348565015266,-0.1725286756231505,-0.15988174609390368,-0.23583463578906896,-0.1725286756231505,0.028039696855145662,-0.4802209301725464,-0.5176170230139042,-0.32326608544376834,-0.4802209301725464,-1.6154534123122721,-0.7800707050843239,-1.4039420757986174,-1.2664887310650712,-1.4039420757986174,-0.7441387516202392,-1.1295478002604653,-0.5364383017062593,-0.8033749511956545,-0.7441387516202392,-0.10429862548371371,-0.47524683352811264,-0.17435156219207837,-0.2512990070679682,-0.17435156219207837,-0.6393351169822642,-0.6393351169822642,-0.6393351169822642,0.14269430236986608,0.5565077792424777,0.5813550582218601,0.9999999815069656,0.21083822677790673,0.4276287957679683,0.16385950353322756,0.5184425807221017,0.14891969395799987,0.5391353277917998,0.3971730502626574,0.9884069527958567,0.019250404399895643,0.33829448885436647,0.04698317893606161,0.5079827351632913,0.2625205045292924,0.9999999990269781,0.021197880211978794,0.2151309032665506
gRNA_CDK7_targ_12,CDK7,targeting,0.15310680055674777,3.304067721736997,-0.25347869685325103,1.0678986084801647,0.15310680055674777,382.3657106070204,20604.0,0.3324227529726851,0.2598801367761208,-0.04453751174432863,0.18258845933482573,0.2598801367761208,1.0232520409813042,-1.2053114779479548,0.03848306794651293,-0.047858789673379226,0.03848306794651293,-0.6630448980704158,-1.5257968758865328,-0.39206374107288255,-0.8603018383432769,-0.6630448980704158,-1.0124014515584967,-1.311170620911413,-0.6610297822960565,-0.9948672849219887,-1.0124014515584967,0.5581247290007407,-0.6007356234761608,-0.4994695486333793,-0.18069348103626645,-0.4994695486333793,-1.2553336962901556,-0.27989621097555445,-1.3865614703653728,-0.9739304592103609,-1.2553336962901556,-0.39729969903275913,0.4648802349667349,-0.3014042981649403,-0.07794125407698817,-0.3014042981649403,0.6086851849357359,0.23530581381459062,0.03249140021860623,0.29216079965631087,0.23530581381459062,0.19684586207331284,0.19684586207331284,0.19684586207331284,0.001954122852021904,0.4103657989245998,0.4842134192414894,0.9999999815069656,0.2710532851416028,0.4962947474423714,0.038150660988579936,0.2215985202102622,7.914886242774582e-06,0.00014309694995214974,0.42522339307065304,0.8444678116824905,0.06613315366422307,0.5143689729439572,0.5236616566023515,0.9878996206069828,0.1262253134197464,0.38032384504563704,0.46735326467353244,0.9172353792658114
