Date,Days Post-Transduction,Days Post-Treatment,Selection Agent,Drug,Concentration (nM),Actual concentration replated (nM),Replicate,Plate # /Format,Cell Count (millions),Cell Count Replated,# gDNA cell pellets,gDNA pellet cell count (millions),RFP+ %,Notes
11/2/24,26,18,NONE,KI-CDK9d-32N,1250,1250,1,1x 15-cm plate,7.58,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KI-CDK9d-32N,1250,1250,2,1x 15-cm plate,6.67,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KI-CDK9d-32N,1250,1250,3,1x 15-cm plate,6.54,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KI-CDK9d-32N,5000,2000,1,1x 15-cm plate,4.97,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KI-CDK9d-32N,5000,2000,2,1x 15-cm plate,4.28,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KI-CDK9d-32N,5000,2000,3,1x 15-cm plate,5.11,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KB-0742,1500,1500,1,1x 15-cm plate,5.84,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KB-0742,1500,1500,2,1x 15-cm plate,6.03,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KB-0742,1500,1500,3,1x 15-cm plate,6.08,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,KB-0742,5000,0,1,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,KB-0742,5000,0,2,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,KB-0742,5000,0,3,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,SY-5609,1000,0,1,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,SY-5609,1000,0,2,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,SY-5609,1000,0,3,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,SY-5609,2500,0,1,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,SY-5609,2500,0,2,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,SY-5609,2500,0,3,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,Senexin B,2000,2000,1,1x 15-cm plate,5.01,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,Senexin B,2000,2000,2,1x 15-cm plate,5.39,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,Senexin B,2000,2000,3,1x 15-cm plate,4.41,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,Senexin B,15000,4000,1,1x 15-cm plate,5.05,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,Senexin B,15000,4000,2,1x 15-cm plate,4.82,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,Senexin B,15000,4000,3,1x 15-cm plate,5.11,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,SEL120,4000,4000,1,1x 15-cm plate,4.84,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,SEL120,4000,4000,2,1x 15-cm plate,6.13,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,SEL120,4000,4000,3,1x 15-cm plate,4.53,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,SEL120,8000,8000,1,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,SEL120,8000,8000,2,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,SEL120,8000,8000,3,1x 15-cm plate,,,,,,
11/2/24,26,18,NONE,DMSO,1%,1%,1,1x 15-cm plate,8.47,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,DMSO,1%,1%,2,1x 15-cm plate,6.9,2.75,1,2.75,N/A,
11/2/24,26,18,NONE,DMSO,1%,1%,3,1x 15-cm plate,6.74,2.75,1,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32,100,100,1,1x 15-cm plate,7.48,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32,100,100,2,1x 15-cm plate,6.04,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32,100,100,3,1x 15-cm plate,7.4,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32,1000,200,1,1x 15-cm plate,6.47,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32,1000,200,2,1x 15-cm plate,5.69,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32,1000,200,3,1x 15-cm plate,5.98,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32N,1250,1250,1,1x 15-cm plate,8.28,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32N,1250,1250,2,1x 15-cm plate,7.27,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32N,1250,1250,3,1x 15-cm plate,7.36,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32N,5000,2000,1,1x 15-cm plate,7.27,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32N,5000,2000,2,1x 15-cm plate,6.69,,2,2.75,N/A,
11/5/24,29,21,NONE,KI-CDK9d-32N,5000,2000,3,1x 15-cm plate,5.83,,2,2.75,N/A,
11/5/24,29,21,NONE,KB-0742,1500,1500,1,1x 15-cm plate,6.44,,2,2.75,N/A,
11/5/24,29,21,NONE,KB-0742,1500,1500,2,1x 15-cm plate,5.67,,2,2.75,N/A,
11/5/24,29,21,NONE,KB-0742,1500,1500,3,1x 15-cm plate,6.61,,2,2.75,N/A,
11/5/24,29,21,NONE,KB-0742,5000,0,1,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,KB-0742,5000,0,2,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,KB-0742,5000,0,3,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,SY-5609,1000,0,1,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,SY-5609,1000,0,2,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,SY-5609,1000,0,3,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,SY-5609,2500,0,1,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,SY-5609,2500,0,2,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,SY-5609,2500,0,3,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,Senexin B,2000,2000,1,1x 15-cm plate,5.65,,2,2.75,N/A,
11/5/24,29,21,NONE,Senexin B,2000,2000,2,1x 15-cm plate,6.06,,2,2.75,N/A,
11/5/24,29,21,NONE,Senexin B,2000,2000,3,1x 15-cm plate,5.77,,2,2.75,N/A,
11/5/24,29,21,NONE,Senexin B,15000,4000,1,1x 15-cm plate,5.1,,2,2.75,N/A,
11/5/24,29,21,NONE,Senexin B,15000,4000,2,1x 15-cm plate,4.54,,2,2.75,N/A,
11/5/24,29,21,NONE,Senexin B,15000,4000,3,1x 15-cm plate,5.05,,2,2.75,N/A,
11/5/24,29,21,NONE,SEL120,4000,4000,1,1x 15-cm plate,5.67,,2,2.75,N/A,
11/5/24,29,21,NONE,SEL120,4000,4000,2,1x 15-cm plate,6.63,,2,2.75,N/A,
11/5/24,29,21,NONE,SEL120,4000,4000,3,1x 15-cm plate,4.68,,2,2.75,N/A,
11/5/24,29,21,NONE,SEL120,8000,8000,1,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,SEL120,8000,8000,2,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,SEL120,8000,8000,3,1x 15-cm plate,,,,,,
11/5/24,29,21,NONE,DMSO,1%,1%,1,1x 15-cm plate,10.6,,3,2.75,N/A,
11/5/24,29,21,NONE,DMSO,1%,1%,2,1x 15-cm plate,9.14,,3,2.75,N/A,
11/5/24,29,21,NONE,DMSO,1%,1%,3,1x 15-cm plate,9.35,,3,2.75,N/A,
