Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
HDR,0.0,100.0,354,353,338,0,338,0,1,1,338,0,0,336,0,1,1,0,gRNA_CDK7_targ_18_21
Reference,33.33333333,66.66666667,354,353,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_18_22
HDR,0.0,100.0,354,353,301,0,301,0,2,1,300,1,0,298,0,1,1,0,gRNA_CDK7_targ_18_22
Reference,2.5,97.5,354,353,40,1,39,0,0,0,39,0,0,39,0,0,0,0,gRNA_CDK7_targ_18_23
HDR,1.92307692,98.07692308,354,353,312,6,306,0,2,1,305,1,0,303,0,1,1,0,gRNA_CDK7_targ_18_23
Reference,25.0,75.0,354,353,4,1,3,0,1,0,3,0,0,2,0,1,0,0,gRNA_CDK7_targ_18_24
HDR,59.28338762,40.71661238,354,353,307,182,125,0,1,1,124,1,0,123,0,0,1,0,gRNA_CDK7_targ_18_24
Reference,100.0,0.0,435,435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_19_25
HDR,0.0,100.0,435,435,258,0,258,0,0,0,258,0,0,258,0,0,0,0,gRNA_CDK7_targ_19_25
Reference,100.0,0.0,435,435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_19_26
HDR,0.0,100.0,435,435,433,0,433,0,83,0,354,79,0,350,0,4,0,0,gRNA_CDK7_targ_19_26
Reference,100.0,0.0,435,435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_19_27
HDR,63.13364055,36.86635945,435,435,434,274,160,0,1,0,159,1,0,159,0,0,0,0,gRNA_CDK7_targ_19_27
Reference,0.0,100.0,421,421,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_CDK7_targ_20_28
HDR,8.23244552,91.76755448,421,421,413,34,379,0,0,1,378,0,1,378,0,0,0,0,gRNA_CDK7_targ_20_28
Reference,0.0,100.0,421,421,35,0,35,0,0,0,35,0,0,35,0,0,0,0,gRNA_CDK7_targ_20_29
HDR,2.07253886,97.92746114,421,421,386,8,378,0,0,1,377,0,1,377,0,0,0,0,gRNA_CDK7_targ_20_29
Reference,,,421,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_20_30
HDR,96.82539683,3.17460317,421,421,378,366,12,0,0,1,11,0,1,11,0,0,0,0,gRNA_CDK7_targ_20_30
Reference,8.90052356,91.09947644,592,592,382,34,348,0,0,0,348,0,0,348,0,0,0,0,gRNA_CDK7_targ_23_31
HDR,96.03960396,3.96039604,592,592,202,194,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_CDK7_targ_23_31
Reference,100.0,0.0,664,664,4,4,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_24_32
HDR,42.64036419,57.35963581,664,664,659,281,378,0,0,0,378,0,0,378,0,0,0,0,gRNA_CDK7_targ_24_32
Reference,96.18644068,3.81355932,277,277,236,227,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_CDK7_targ_28_33
HDR,92.5,7.5,277,277,40,37,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_CDK7_targ_28_33
Reference,1.41843972,98.58156028,489,489,141,2,139,0,0,0,139,0,0,139,0,0,0,0,gRNA_CDK7_targ_29_34
HDR,0.0,100.0,489,489,348,0,348,0,0,0,348,0,0,348,0,0,0,0,gRNA_CDK7_targ_29_34
Reference,33.33333333,66.66666667,489,489,6,2,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_29_35
HDR,0.0,100.0,489,489,483,0,483,0,0,0,483,0,0,483,0,0,0,0,gRNA_CDK7_targ_29_35
Reference,0.55401662,99.44598338,489,489,361,2,359,0,0,0,359,0,0,359,0,0,0,0,gRNA_CDK7_targ_29_36
HDR,0.0,100.0,489,489,127,0,127,0,0,0,127,0,0,127,0,0,0,0,gRNA_CDK7_targ_29_36
Reference,100.0,0.0,489,489,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_29_37
HDR,0.61728395,99.38271605,489,489,486,3,483,0,0,0,483,0,0,483,0,0,0,0,gRNA_CDK7_targ_29_37
Reference,33.33333333,66.66666667,489,489,6,2,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_29_38
HDR,0.0,100.0,489,489,348,0,348,0,0,0,348,0,0,348,0,0,0,0,gRNA_CDK7_targ_29_38
Reference,13.33333333,86.66666667,489,489,15,2,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_CDK7_targ_29_39
HDR,0.0,100.0,489,489,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_CDK7_targ_29_39
Reference,66.66666667,33.33333333,489,489,3,2,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_29_40
HDR,0.0,100.0,489,489,348,0,348,0,0,0,348,0,0,348,0,0,0,0,gRNA_CDK7_targ_29_40
Reference,33.33333333,66.66666667,489,489,6,2,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_CDK7_targ_29_41
HDR,0.0,100.0,489,489,128,0,128,0,0,0,128,0,0,128,0,0,0,0,gRNA_CDK7_targ_29_41
Reference,66.66666667,33.33333333,489,489,3,2,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_29_42
HDR,1.86335404,98.13664596,489,489,483,9,474,0,0,0,474,0,0,474,0,0,0,0,gRNA_CDK7_targ_29_42
Reference,66.66666667,33.33333333,489,489,3,2,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_29_43
HDR,0.0,100.0,489,489,128,0,128,0,0,0,128,0,0,128,0,0,0,0,gRNA_CDK7_targ_29_43
Reference,13.33333333,86.66666667,489,489,15,2,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_CDK7_targ_29_44
