Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,4.07854985,95.92145015,4224,4224,662,27,635,0,0,1,634,0,1,634,0,0,0,0,gRNA_CDK7_targ_2_1
HDR,0.02864509,99.97135491,4224,4224,3491,1,3490,0,0,303,3192,0,298,3187,0,0,5,0,gRNA_CDK7_targ_2_1
Reference,93.10344828,6.89655172,4224,4224,29,27,2,0,0,1,1,0,1,1,0,0,0,0,gRNA_CDK7_targ_2_2
HDR,6.21870883,93.78129117,4224,4224,3795,236,3559,0,0,303,3261,0,298,3256,0,0,5,0,gRNA_CDK7_targ_2_2
Reference,6.39810427,93.60189573,4224,4224,422,27,395,0,0,1,394,0,1,394,0,0,0,0,gRNA_CDK7_targ_2_3
HDR,88.14606742,11.85393258,4224,4224,3560,3138,422,0,0,303,123,0,299,119,0,0,4,0,gRNA_CDK7_targ_2_3
Reference,41.60583942,58.39416058,2526,2508,137,57,80,0,0,0,80,0,0,80,0,0,0,0,gRNA_CDK7_targ_3_4
HDR,14.82664234,85.17335766,2526,2508,2192,325,1867,0,22,63,1784,21,62,1782,0,1,1,0,gRNA_CDK7_targ_3_4
Reference,34.80392157,65.19607843,6114,6114,4080,1420,2660,0,0,1,2659,0,1,2659,0,0,0,0,gRNA_CDK7_targ_4_5
HDR,39.80295567,60.19704433,6114,6114,2030,808,1222,0,0,0,1222,0,0,1222,0,0,0,0,gRNA_CDK7_targ_4_5
Reference,0.64516129,99.35483871,1758,1757,155,1,154,0,0,0,154,0,0,154,0,0,0,0,gRNA_CDK7_targ_5_6
HDR,34.7947112,65.2052888,1758,1757,1437,500,937,0,0,0,937,0,0,937,0,0,0,0,gRNA_CDK7_targ_5_6
Reference,46.45669291,53.54330709,3350,3164,254,118,136,0,0,0,136,0,0,136,0,0,0,0,gRNA_CDK7_targ_7_7
HDR,5.81438688,94.18561312,3350,3164,2683,156,2527,0,221,1,2316,211,0,2305,0,10,1,0,gRNA_CDK7_targ_7_7
